Position,Name,Punkte
1,Gordon Freimann,32664300
2,Last Wolf Warrior,29168275
3,Bugab0o,26780125
4,SNEAKY BUNNY,24853050
5,Haulsen,23935952
6,Queen from AZO,23760025
7,Kotor47,23317125
8,Fürst der Nazgûl,22731300
9,JSheridan,21411550
10,Baba Basti,18919125
11,Smowy,18357375
12,Li La LiNuS,18081800
13,Feivel D MauS,17880225
14,Giorgiotown,17538125
15,RAV28,17028200
16,SNPOL,16396500
17,SamoZlo,15580425
18,haasenpeter rex,15245975
19,Jónny666,14752300
20,PHOENIX FOX,14166675
21,Skywölkchen,14119575
22,supi pupi,14071075
23,Tom12234455,14000235
24,Katerina77,13067025
25,Kytrider,12971325
26,Svela17,12940875
27,cappu97,12919175
28,Fran171526,12877425
29,Last Arti,12442475
30,Lilien1999,12404250
31,Jimi777,12008825
32,Fürstin Elora,11534325
33,Dejweed,10373350
34,DragonWiz,10261400
35,azerty57,10250815
36,MrSajmonn,10181725
37,FATUUM,10164575
38,SmartesGirl,10069625
39,DaliborDaki,10045400
40,Dr Cal Lightman,9754675
41,Tyskie 66,9629875
42,MetauChopf,9552575
43,Dragon blou,9439140
44,lefueT,9171525
45,Mac1902,9151750
46,Kpiftw,8796675
47,Cheesynator,8742550
48,ECSI,8667025
49,Pawelte,8574168
50,Cluster82,8488325
51,Jacob Carter,8397450
52,feimel,8310900
53,2 s t y,8166225
54,UMY Stern,8124075
55,Hhjjjjcg,8081080
56,Sphere8472,8034475
57,MiepStreet,7904285
58,sunny75,7860675
59,KERSY,7789838
60,Marshalfery,7787589
61,CalziferFire,7782150
62,Bogo und Pini,7723550
63,Aenwe,7670150
64,Xambash,7527875
65,Toby Urbex,7497600
66,Christo30,7486700
67,Leijonamieli,7400475
68,Himbeertony,7287350
69,Pinsel20,7280850
70,fffeyz,7276325
71,Schlabberbacke,7232575
72,Mischel89,7220189
73,GaaGol,7212172
74,ozzy5255,7208968
75,CërêålKïllêr,6663517
76,Sanya Longer,6537575
77,LatastrophenUlli,6537162
78,Bestia77,6500267
79,Sultan Murat X,6166350
80,Mel Lyn,5610550
81,Peridakles,5271025
82,The Pharo 2026,5191020
83,jukata,4839650
84,EXITUS,4803375
85,Z4ID,4735842
86,MG Mayo,4000992
87,jobcenter FFM,3987102
88,VxClicker,3789600
89,yyyyyyvhnmll,3089588
90,K u r d o,2863075
91,케포 부인,1625000
