Position,Name,Points
1,Li La Linus,30227550
2,Baba Basti,26829025
3,UMY Stern,20934075
4,Fran171526,20194425
5,azerty57,17917000
6,Cheesynator,17876650
7,Peridakles,17254075
8,Giorgiotown,16726500
9,Dragon blou,16148425
10,SNPOL,15665475
11,Schlabberbacke,15638025
12,fffeyz,14873850
13,Feivel D Maus,14292625
14,Bugab0o,14004475
15,Fürst der Nazgûl,13604325
16,MrSajmonn,12932825
17,Gordon Freimann,12554175
18,2 s t y,12527450
19,haasenpeter rex,12415325
20,Cluster82,12072650
21,PHOENIX FOX,12065825
22,lefueT,11773425
23,Katerina77,11755875
24,Z4ID,11621300
25,SmartesGirl,11482050
26,cappu97,10659975
27,Mischel89,10301854
28,Kotor47,10282775
29,Dejweed,10271275
30,Jacob Carter,10199475
31,FATUUM,9899550
32,Bogo und Pini,9815525
33,supi pupi,9751725
34,Haulsen,9693750
35,Last Wolf Warrior,9570025
36,Lilien1999,9332625
37,Jónny666,9318250
38,KERSY,9265100
39,CalziferFire,9258425
40,Svela17,9258325
41,Fürstin Elora,9236125
42,SamoZlo,9099350
43,JSheridan,9085850
44,Tom12234455,9045750
45,Kytrider,8909850
46,jukata,8846750
47,Last Arti,8795175
48,Aenwe,8717125
49,feimel,8679475
50,Dr Cal Lightman,8675975
51,SNEAKY BUNNY,8655775
52,Kpiftw,8609025
53,ozzy5255,8596170
54,Smowy,8534250
55,케포 부인,8498200
56,ECSI,8407500
57,RAV28,8360375
58,Jimi777,8347500
59,Pawelte,8247525
60,Mac1902,8172950
61,Queen from AZO,8161125
62,Christo30,8093375
63,Skywölkchen,7993650
64,sunny75,7988700
65,GaaGol,7977700
66,MetauChopf,7948550
67,jobcenter FFM,7890825
68,Sphere8472,7802150
69,Tyskie 66,7774675
70,Mel Lyn,7642050
71,MG Mayo,7621525
72,Pinsel20,7571950
73,EXITUS,7561700
74,DaliborDaki,7475425
75,Leijonamieli,7460700
76,DragonWiz,7356875
77,Himbeertony,7237775
78,Bestia77,6052450
79,Hhjjjjcg,5984850
80,Marshalfery,5854131
81,VxClicker,5711600
82,Toby Urbex,5671300
83,MiepStreet,5532025
84,LatastrophenUlli,5499225
85,Sultan Murat X,5138975
86,yyyyyyvhhnmll,4314500
87,Kurdo,3646357
88,Sanya Longer,1250000
89,The Pharo 2026,943000
