Position,Name,Punkte
1,PHOENIX FOX,56552856
2,Li La LiNuS,53992850
3,UMY Stern,50143830
4,Fran171526,49487828
5,Cheesynator,43074454
6,Pawelte,43032830
7,Katerina77,41340160
8,ECSI,40764798
9,Jacob Carter,40718260
10,Bugab0o,40350824
11,Sphere8472,39047428
12,Haulsen,38450332
13,MetauChopf,37051856
14,Jónny666,34998048
15,Cluster82,34129672
16,Baba Basti,33997292
17,sunny75,33716410
18,haasenpeter rex,33649752
19,2 s t y,32176838
20,DaliborDaki,32018622
21,Last Wolf Warrior,31789356
22,JSheridan,31772724
23,cappu97,31370936
24,EXITUS,30534054
25,DragonWiz,30339886
26,SamoZlo,28953124
27,Fürstin Elora,28894542
28,Bogo und Pini,28501564
29,SmartesGirl,28445718
30,Lilien1999,28252982
31,KERSY,27047506
32,Queen from AZO,25901936
33,feimel,25413386
34,Svela17,24896922
35,Schlabberbacke,24436292
36,Feivel D MauS,24287182
37,Kotor47,24181366
38,Marshalfery,23900421
39,Fürst der Nazgûl,23425770
40,Peridakles,22837798
41,jukata,22136296
42,lefueT,21765544
43,Gordon Freimann,21431998
44,supi pupi,21207596
45,SNPOL,21011086
46,Skywölkchen,20891240
47,azerty57,20739284
48,Z4ID,20356592
49,MrSajmonn,20224396
50,Tyskie 66,20104872
51,fffeyz,19403408
52,Tom12234455,18844524
53,Christo30,18826360
54,MiepStreet,18432752
55,RAV28,18164304
56,Hhjijjjcg,17174408
57,Kurdo,16910900
58,계포 부인,16683176
59,Aenwe,16637628
60,The Pharo 2026,16468230
61,Dr Cal Lightman,16187772
62,Dragon blou,16139648
63,Toby Urbex,15686808
64,ozzy5255,15599132
65,Kytrider,15319446
66,Himbeertony,14490256
67,CalziferFire,14335250
68,yyyyyyhhmmll,14319286
69,Mac1902,14244982
70,Last Arti,14170382
71,GaaGol,13945436
72,Mel Lyn,13361238
73,LatastrophenUlli,12790820
74,Jimi777,12601568
75,Leijonamieli,11654882
76,Smowy,11223678
77,Mischel89,10557922
78,Giorgiotown,10411194
79,Pinsel20,10204218
80,Bestia77,10120500
81,Sanya Longer,9512814
82,jobcenter FFM,9363484
83,VxClicker,9200334
84,Sultan Murat X,8565662
85,FATUUM,8460266
86,Kpiftw,8414000
87,MG Mayo,8034772
88,SNEAKY BUNNY,7695392
89,Dejweed,5484836
