Position,Name,Points
1,Kpiftw,24840892
2,Amir Yakuza,20571249
3,EXITUS,19902592
4,Jacob Carter,19711784
5,Bogo und Pini,17352510
6,azerty57,17166102
7,Sanya Longer,17137816
8,Z4ID,16821510
9,Tyskie 66,16678844
10,Bestia77,16614678
11,The Pharo 2026,16350012
12,DragonWiz,16209338
13,Marshalferry,16094687
14,fffeyz,16090898
15,Himbeertony,15576536
16,Dr Cal Lightman,14307088
17,Fürstin Elora,13961416
18,Bugab0o,13553460
19,MG Mayo,13403208
20,cappu97,13068798
21,Dragon blou,12901964
22,Cluster82,12578748
23,Baba Basti,12095084
24,K E R S Y,12043252
25,supi pupi,12027012
26,2 s t y,11508702
27,Giorgiotown,10720270
28,CalziferFire,10692134
29,Toby Urbex,10515734
30,Katerina77,10491334
31,Fürst der Nazgûl,10271464
32,jukata,10256218
33,Jónny666,10133878
34,dome94G,9919600
35,Sultan Murat X,9723988
36,DaliborDaki,9668500
37,Mischel89,9497434
38,Feivel D MauS,9440100
39,TheShorty,9343660
40,Last Arti,9286172
41,Schlabberbacke,9282040
42,RAV28,8828060
43,SNPOL,8622916
44,JSheridan,8620224
45,PHOENIX FOX,8430234
46,LatastrophenUlli,8393092
47,Last Wolf Warrior,8392104
48,Dejweed,8343256
49,Kytrider,8237416
50,Skywölkchen,8223074
51,haasenpeter rex,8214422
52,Pawelte,8151342
53,Tom12234455,8139750
54,Haulsen,8025668
55,lefueT,7977738
56,계포 부인,7948142
57,Gordon Freimann,7888274
58,Mac1902,7878786
59,Fran171526,7846946
60,ozzy5255,7813736
61,Jimi777,7783620
62,Li La LiNuS,7781724
63,Hhjjjjcg,7736294
64,MiepStreet,7720438
65,Peridakles,7698044
66,SamoZlo,7671542
67,SmartesGirl,7616916
68,GaaGol,7573202
69,Cheesynator,7566960
70,Svela17,7495448
Position,Name,Points
71,ECSI,7484084
72,UMY Stern,7470600
73,Smowy,7446878
74,sunny75,7442434
75,VxClicker,7440710
76,Aenwe,7432500
77,Pinsel20,7432500
78,FATUUM,7375172
79,Lilien1999,7341888
80,SNEAKY BUNNY,7329296
81,Queen from AZO,7318708
82,MetauChopf,7310218
83,Kotor47,7280618
84,feimel,7261372
85,Leijonamieli,7231980
86,Sphere8472,7224166
87,MrSajmonn,7203018
88,yyyyyyvhhnmll,5548788
89,Christo30,5492398
90,jobcenter FFM,750000
91,K u r d o,3450
