1,Dragon blou,14858762
2,RAV28,12983450
3,Kotor47,12886179
4,SNEAKY BUNNY,11422453
5,Giorgiotown,11350720
6,Fran171526,10424446
7,Cluster82,9894647
8,UMY Stern,9699512
9,Himbeertony,9341845
10,Last Wolf Warrior,8595021
11,SamoZlo,8500697
12,Svela17,8461409
13,Jacob Carter,8457033
14,Smowy,8454729
15,Li La LiNuS,7963650
16,Bogo und Pini,7867506
17,Dejweed,7799910
18,Jónny666,7743871
19,DragonWiz,7575778
20,IefueT,7552120
21,JSheridan,7349055
22,MrSajmonn,7345440
23,jukata,7242862
24,azerty57,7232924
25,Feivel D MauS,7211668
26,CalziferFire,7204005
27,Bugab0o,6393865
28,cappu97,5972471
29,Amir Yakuza,5694125
30,Sultan Murat X,5498125
31,MG Mayo,5001821
32,Gordon Freimann,4982341
33,SNPOL,4957705
34,DaliborDaki,4919375
35,PHOENIX FOX,4840310
36,LatastrophenUlli,4391138
37,Sphere8472,4286760
38,haasenpeter rex,4033875
39,Haulsen,3974249
40,K E R S Y,3956699
41,Baba Basti,3816900
42,TheShorty,3727426
43,Last Arti,3682500
44,2 s t y,3663200
45,ozzy5255,3646178
46,Marshalfery,3518756
47,Tyskie 66,3482061
48,supi pupi,3434652
49,Pawelte,3432125
50,EXITUS,3146250
51,Fürstin Elora,3063000
52,Mac1902,2908763
53,Toby Urbex,2808625
54,Kpiftw,2770000
55,케포 부인,2720442
56,FATUUM,2691127
57,Jimi777,2646250
58,Dr Cal Lightman,2628625
59,sunny75,2613080
60,Fürst der Nazgûl,2577675
61,dome94G,2534750
62,Hhjjjjcg,2430250
63,Queen from AZO,2406500
64,ECSI,2366815
65,SmartesGirl,2350000
66,Katerina77,2350000
67,Peridakles,2316227
68,Sanya Longer,2245535
69,Christo30,2207375
70,Z4ID,2205809
71,fffeyz,2202875
72,Kytrider,2201125
73,Mischel89,2196080
74,Aenwe,2172750
75,MetauChopf,2157632
76,Tom12234455,2150000
77,Pinsel20,2094875
78,Bestia77,2044500
79,K u r d o,2007648
80,Lilien1999,2000875
81,Cheesynator,1867125
82,yyyyyyvhhnmll,1807119
83,The Pharo 2026,1763776
84,feimel,1650000
85,Skywölkchen,1518250
86,VxClicker,1400000
87,GaaGol,1357349
88,MiepStreet,1050000
89,Leijonamieli,900000
90,Mel Lyn,573424
91,Schlabberbacke,98246
