Position,Name,Points
1,Himbeertony,84474069
2,Jacob Carter,82602794
3,Kotor47,79042328
4,supi pupi,77954820
5,RAV28,72428124
6,azerty57,72110547
7,Amir Yakuza,71031824
8,Fran171526,68885751
9,Bestia77,68398882
10,Baba Basti,68160219
11,Fürst der Nazgúl,65824514
12,Dragon blou,64045408
13,UMY Stern,63486245
14,Marshalfery,61493341
15,Bogo und Pini,60893723
16,Bugab0o,60775359
17,Kpiftw,60158492
18,Giorgiotown,59769180
19,Li La LiNuS,59253097
20,JSheridan,59113765
21,Fürstin Elora,58914014
22,Smowy,58502169
23,Feivel D Maus,58262539
24,Tyskie 66,58195097
25,SNPOL,57837601
26,cappu97,57826514
27,Last Wolf Warrior,57449944
28,Aenwe,57358286
29,DragonWiz,57206367
30,Queen from AZO,57205928
31,haasenpeter rex,56737866
32,Cluster82,56373542
33,EXITUS,55316088
34,Jónny666,54173629
35,Pawelte,53571428
36,lefueT,52777768
37,Dr Cal Lightman,52515380
38,CalziferFire,51957411
39,DaliborDaki,51812690
40,2 s t y,51654396
41,Haulsen,51534965
42,Sanya Longer,51393762
43,fffeyz,50783950
44,SNEAKY BUNNY,50106305
45,K E R S Y,49928690
46,Z4ID,49869829
47,jukata,49288763
48,SamoZlo,49159860
49,Dejweed,49096065
50,ozzy5255,49001560
51,Last Arti,48641637
52,PHOENIX FOX,48408341
53,Sphere8472,47752955
54,Svela17,47460044
55,TheShorty,46255495
56,계포 부인,45439777
57,dome94G,45235446
58,Sultan Murat X,45064913
59,MrSajmonn,44751669
60,Kytrider,44680416
61,The Pharo 2026,43832482
62,Gordon Freimann,43314445
63,Toby Urbex,42217507
64,Cheesynator,42162801
65,feimel,41706740
66,Katerina77,41640288
67,ECSI,41629199
68,Jimi777,41443688
69,Mac1902,41201927
70,FATUUM,40735014
71,Schlabberbacke,40608071
72,MG Mayo,40396580
73,LatastrophenUlli,40174803
74,GaaGol,40067440
75,sunny75,38837099
76,Hhjjjjcg,38347267
77,SmartesGirl,38295980
78,MetauChopf,38277911
79,Tom12234455,38076132
80,Mischel89,37621716
81,Pinsel20,37092072
82,Lilien1999,35330949
83,Skywölkchen,34969407
84,Peridakles,34257421
85,Christo30,33732352
86,Leijonamieli,32771623
87,jobcenter FFM,31843491
88,VxClicker,31379747
89,MiepStreet,23641459
90,Kurdo,17489940
91,yyyyyyvhnmll,15594715
92,Mel Lyn,573424
