Position,Name,Points
1,[AZO]Li La LiNuS,2985932
2,[AZO]Azuuzz,2344805
3,[AZO]Smowy,2288573
4,[AZO]Baba Basti,2184987
5,[AZO]2 s t y,2061271
6,[AZO]UMY Stern,1939168
7,[AZO]SamoZlo,1757347
8,[AZO]Gordon Freimann,1750013
9,[AZO]Last Wolf Warrior,1526933
10,[AZO]azerty57,1231767
11,[AZO]TheShorty,1100438
12,[AZO]Golden FOX,877395
13,[AZO]RAV28,858852
14,[AZO]Cluster82,735904
15,[AZO]JSheridan,691223
16,[AZO]PHOENIX FOX,676047
17,[AZO]Space peak,585345
18,[AZO]Katerina77,444504
19,[AZO]CalziferFire,435912
20,[AZO]Dragon blou,421066
21,[AZO]ECSI,391435
22,[AZO]dome94G,0
