1,Last Wolf Warrior,29072375
2,Space peak,28365375
3,Bugab0o,23778000
4,Svela17,20177750
5,Sanya Longer,18209625
6,Christo30,17722750
7,lefueT,17404000
8,Dejweed,17403875
9,Gordon Freimann,16431250
10,Baba Basti,16163625
11,Dragon blou,15637050
12,Tom12234455,15611875
13,GaaGol,14838300
14,Li La LiNuS,14520500
15,MrSajmonn,14391250
16,MiepStreet,14181950
17,feimel,13783375
18,jukata,13484625
19,2 s t y,13362250
20,Jacob Carter,13281750
21,ECSI,12785375
22,Lilien1999,12752875
23,Giorgiotown,12717375
24,yyyyyyyhhnmll,12537750
25,PHOENIX FOX,12349700
26,Queeniiiiii,12107125
27,Fürst der Nazgûl,12033625
28,DragonWiz,12029875
29,Kotor47,11983500
30,MetauChopf,11950250
31,Leijonamieli,11894375
32,Haulsen,11564125
33,Bogo und Pini,11533375
34,Jónny666,11507500
35,SNPOL,11374125
36,Itstheghoul,11115875
37,UMY Stern,10916000
38,sunny75,10875875
39,SmartesGirl,10845500
40,Toby Urbex,10719875
41,Pawelte,10567125
42,DaliborDaki,10532375
43,Sphere8472,10288750
44,TheShorty,9966375
45,Cheesynator,9875375
46,cappu97,9855000
47,CalziferFire,9847875
48,Katerina77,9762750
49,Fran171526,9611125
50,Sultan Murat X,9553250
51,Peridakles,9260375
52,supi pupi,9226625
53,Smowy,9190000
54,KERSY,9140375
55,Tyskie 66,9035000
56,Peeter99,8922000
57,Jimi777,8918250
58,giMp,8480750
59,Fürstin,8454375
60,Skywölkchen,8451375
61,Cluster82,8451250
62,MellidieGroße,8381000
63,jobcenter FFM,8275750
64,waynowazza,8240050
65,Marshalfery,8181646
66,haasenpeter rex,8033750
67,케포 부인,7838575
68,JSheridan,7826375
69,Last Arti,7727250
70,azerty57,7714875
71,SamoZlo,7686750
72,MG Mayo,7551950
73,dome94G,7489500
74,fffeyz,7479000
75,Dr Cal Lightman,7438625
76,Kytrider,7432000
77,Golden FOX,7429000
78,RAV28,7414125
79,ozzy5255,7369250
80,Himbeertony,7355500
81,Mac1902,7329625
82,Campio91,7324750
83,EXITUS,7271000
84,Pinsel20,7258125
85,Feivel D MauS,7212125
86,LatastrophenUlli,6684875
87,Bestia77,6294675
88,The Pharo 2026,5999180
89,Kpiftw,4867000
90,Schlabberbacke,3858750
91,Aenwe,3845000
92,VxClicker,3777625
93,Kurdo,3649409
94,The Nanos,3360000
95,Mischel89,3031680
96,Z4ID,2827450
