position,name,points
1,Gordon Freimann,106345808
2,Last Wolf Warrior,97633082
3,Bugab0o,91462180
4,Baba Basti,88027074
5,IefueT,81468950
6,UMY Stern,72073004
7,Haulsen,69093486
8,Space peak,69012128
9,Svela17,64722790
10,Li La LiNuS,61755948
11,Christo30,50974116
12,K E R S Y,50205468
13,JSheridan,49468080
14,Kotor47,47358158
15,Jónny666,46037474
16,Jimi777,42247594
17,Bogo und Pini,40829056
18,DaliborDaki,40533510
19,Sanya Longer,37205896
20,Fran171526,36890034
21,ECSI,36532048
22,Tom12234455,35538072
23,cappu97,34447392
24,Smowy,34404922
25,MrSajmonn,34341916
26,Kytrider,33954456
27,feimel,31492964
28,PHOENIX FOX,31306658
29,Pawelte,31045886
30,Tyskie 66,30817740
31,azerty57,29834228
32,Dragon blou,29504700
33,Queeniiiiii,29118390
34,giMp,28796158
35,Sphere8472,28617776
36,MetauChopf,27726400
37,GaaGol,27259810
38,Fürst der Nazgûl,26875972
39,MellidieGroße,25816134
40,Cluster82,25779102
41,TheShorty,25465072
42,jukata,25250690
43,supi pupi,24578804
44,SNPOL,24041066
45,케포 부인,23470630
46,dome94G,23424724
47,CalziferFire,22721432
48,Peridakles,22420368
49,Fürstin,22244754
50,DragonWiz,21540410
51,ozzy5255,21537868
52,Z4ID,21108500
53,Last Arti,19654344
54,Giorgiotown,19544250
55,Toby Urbex,19467926
56,Aenwe,19392202
57,SamoZlo,19379432
58,yyyyyyvhhnmll,18900928
59,Lilien1999,18380810
60,Kurdo,18279450
61,Peeter99,18155000
62,Marshalfery,18044957
63,Dejweed,17341290
64,waynowazza,17116044
65,Katerina77,16977662
66,Campio91,16872046
67,Schlabberbacke,16865074
68,Jacob Carter,16748074
69,EXITUS,16650488
70,Sultan Murat X,16259130
71,jobcenter FFM,16187460
72,Golden FOX,16067500
73,2 s t y,16025048
74,Itstheghoul,15991664
75,fffeyz,15316942
76,MiepStreet,14380482
77,Himbeertony,14229498
78,Leijonamieli,14220468
79,haasenpeter rex,14168680
80,SmartesGirl,13648780
81,sunny75,12352822
82,The Pharo 2026,12094212
83,Mac1902,11733026
84,Skywölkchen,10802308
85,RAV28,10253378
86,Cheesynator,9342408
87,LatastrophenUlli,9197962
88,Pinsel20,8129302
89,Feivel D Maus,8057500
90,Dr Cal Lightman,7630218
91,Kpiftw,7517964
92,The Nanos,7460824
93,MG Mayo,6740824
94,Mischel89,4455676
95,Bestia77,3707500
96,VxClicker,2000000
