position,name,points
1,Bugab0o,34542850
2,Baba Basti,31595100
3,Kotor47,31169875
4,dome94G,28115100
5,Smowy,23746075
6,Last Wolf Warrior,21360475
7,2 s t y,20971050
8,Fürst der Nazgûl,20320550
9,JSheridan,19150925
10,Golden FOX,17993725
11,SNPOL,17878125
12,SmartesGirl,17089100
13,MetauChopf,17026500
14,RAV28,16099800
15,Katerina77,15928500
16,Haulsen,15585149
17,supi pupi,15465150
18,EXITUS,14710200
19,UMY Stern,14116900
20,Lilien1999,13837475
21,Space peak,13564100
22,Li La LiNuS,13162150
23,feimel,13126150
24,haasenpeter rex,12659725
25,Tom12234455,12417221
26,MrSajmonn,11609625
27,DaliborDaki,11574375
28,Last Arti,11504675
29,Fürstin,11504575
30,Peridakles,11324425
31,cappu97,11255375
32,Aenwe,11029400
33,Mac1902,11006475
34,Bogo und Pini,10757950
35,Dragon blou,10176658
36,CalziferFire,10057175
37,Cluster82,9755575
38,Kytrider,9521650
39,KERSY,9437575
40,jukata,9123325
41,azerty57,8798900
42,Svela17,8659775
43,Peeter99,8547625
44,Giorgiotown,8352175
45,Toby Urbex,8309150
46,Fran171526,8206675
47,Gordon Freimann,8087050
48,Dr Cal Lightman,8083350
49,lefueT,7915325
50,Sanya Longer,7769275
51,PHOENIX FOX,7696739
52,Jacob Carter,7683700
53,Skywölkchen,7677800
54,Jimi777,7641675
55,sunny75,7537000
56,DragonWiz,7521800
57,SamoZlo,7518800
58,jobcenter FFM,7418927
59,Sultan Murat X,7403650
60,ozzy5255,7360809
61,GaaGol,7346648
62,Christo30,7329175
63,ECSI,7301775
64,The Nanos,7283935
65,giMp,7283125
66,Sphere8472,7279300
67,Pawelte,7240500
68,Marshalferry,7209643
69,fffeyz,7208075
70,Z4ID,6798363
71,케프 부인,6294401
72,Campio91,6234750
73,Kpiftw,6150250
74,Bestia77,5194845
75,Tyskie 66,5070125
76,Himbeertony,5000400
77,MG Mayo,4973624
78,Feivel D MauS,4741525
79,TheShorty,4566325
80,Queeniiiii,4536150
81,Dejweed,4279775
82,LatastrophenUlli,3834050
83,Leijonamieli,3832350
84,Pinsel20,3688325
85,Schlabberbacke,3662675
86,Itstheghoul,3506875
87,The Pharo 2026,3095731
88,Mischel89,3074034
89,VxClicker,2823375
90,waynowazza,2554550
91,yyyyyyvhnnml,2466431
92,Jónny666,2379000
93,Cheesynator,2007850
94,MiepStreet,1419310
95,Kurdo,874000
