position,name,rank,points
1,azerty57,R3,98700
2,waynowazza,R3,73550
3,Bugab0o,R3,73250
4,cappu97,R4,71800
5,JSheridan,R4,64350
6,Svela17,R3,63750
7,K E R S Y,R3,63450
8,Queeniiiiii,R5,63450
9,PHOENIX FOX,R4,62550
10,Smowy,R4,60800
11,Cluster82,R3,60350
12,Fürstin,R3,59450
13,ECSI,R3,59300
14,Kotor47,R4,58050
15,Last Wolf Warrior,R3,57950
16,jukata,R3,56950
17,lefueT,R3,55300
18,supi pupi,R4,53800
19,Skywölkchen,R3,52700
20,SNPOL,R3,52700
21,Golden FOX,R3,52650
22,Space peak,R3,52650
23,Toby Urbex,R3,52400
24,Haulsen,R3,52200
25,Kpiftw,R2,51750
26,Pinsel20,R2,50650
27,Giorgiotown,R3,49650
28,Fran171526,R3,48050
29,Bogo und Pini,R3,48000
30,Baba Basti,R3,47700
31,게포 부인,R3,47450
32,Last Arti,R3,47300
33,The Nanos,R1,47250
34,Kytrider,R4,46700
35,Aenwe,R3,46350
36,Chrisiiii,R3,46000
37,DragonWiz,R3,45950
38,DaliborDaki,R3,45850
39,Dragon blou,R3,45700
40,The Pharo 2026,R1,45600
41,Jimi777,R3,45400
42,Jónny666,R3,45350
43,sunny75,R3,45150
44,CalziferFire,R3,45150
45,Marshalfery,R3,44950
46,Sphere8472,R3,44150
47,Li La LiNuS,R3,43900
48,Campio91,R2,43550
49,Sultan Murat X,R3,42700
50,EXITUS,R3,42650
51,Peridakles,R3,42400
52,fffeyz,R3,42300
53,GaaGol,R3,41900
54,Tom12234455,R3,41800
55,ozzy5255,R3,41050
56,MG Mayo,R1,40800
57,Jacob Carter,R3,40650
58,Bestia77,R2,40600
59,Mac1902,R2,39000
60,Dejweed,R3,38900
61,giMp,R3,37850
62,feimel,R3,37750
63,UMY Stern,R3,37500
64,Tyskie 66,R3,36400
65,SmartesGirl,R3,35250
66,MiepStreet,R3,35100
67,Fürst der Nazgúl,R4,34800
68,Katerina77,R3,34550
69,Sanya Longer,R3,34550
70,dome94G,R3,34300
71,Itstheghoul,R2,34050
72,LatastrophenUlli,R1,32450
73,yyyyyyvhnmll,R2,32050
74,Leijonamieli,R3,32000
75,haasenpeter rex,R4,31650
76,Lilien1999,R3,31400
77,stâce,R2,31400
78,Dr Cal Lightman,R2,28500
79,K u r d o,R1,27050
80,Feivel D MauS,R3,26100
81,Peeter99,R2,25200
82,jobcenter FFM,R2,24400
83,Z4ID,R3,23000
84,ToxicV9,R2,22550
85,Himbeertony,R2,21500
86,FugitiveRazor1,R2,17200
87,Cheesynator,R2,16200
88,MetauChopf,R3,14300
89,Schlabberbacke,R4,14150
90,Mischel89,R1,7400
91,VxClicker,R1,2600
92,Gordon Freimann,R3,0
93,TheShorty,R1,0
94,MellidieGroße,R1,0
