position,name,points
1,EXITUS,14831826
2,Marshalfery,12088554
3,Pawelte,11903010
4,Sphere8472,11320090
5,UMY Stern,10946288
6,MrSajmonn,10716310
7,PHOENIX FOX,10241388
8,jukata,10155408
9,VxClicker,10101050
10,Himbeertony,10100250
11,lefueT,9884148
12,케포 부인,9655728
13,haasenpeter rex,9595420
14,Mac1902,9507666
15,Dejweed,9501136
16,Aenwe,9412718
17,Li La LiNuS,9325800
18,Bestia77,9296168
19,cappu97,9281890
20,Kpiftw,9193760
21,JSheridan,8953298
22,Kytrider,8930176
23,Peeter99,8733718
24,Bugab0o,8681924
25,azerty57,8554792
26,fffeyz,8554304
27,Dr Cal Lightman,8543414
28,Fran171526,8543240
29,Cheesynator,8485530
30,Toby Urbex,8472332
31,Katerina77,8398724
32,Giorgiotown,8370986
33,Last Arti,8353232
34,2 s t y,8311504
35,Smowy,8288386
36,K E R S Y,8284704
37,supi pupi,8283408
38,Schlabberbacke,8267442
39,DaliborDaki,8231386
40,SamoZlo,8171816
41,Skywölkchen,8165160
42,Last Wolf Warrior,8153620
43,Jacob Carter,8002692
44,Golden FOX,7963044
45,Cluster82,7955944
46,Dragon blou,7902636
47,Chrisiiii,7816132
48,Kotor47,7757438
49,Haulsen,7755734
50,CalziferFire,7739706
51,Pinsel20,7662446
52,MiepStreet,7658300
53,Jimi777,7606156
54,SNPOL,7595208
55,LatastrophenUlli,7529828
56,DragonWiz,7497074
57,The Nanos,7491416
58,Bogo und Pini,7463822
59,Campio91,7449874
60,ECSI,7417370
61,Leijonamieli,7410312
62,Svela17,7409168
63,Baba Basti,7399578
64,Fürstin,7324506
65,jobcenter FFM,7225440
66,GaaGol,7208406
67,RAV28,7200000
68,waynowazza,6903988
69,sunny75,6799798
70,Z4ID,6742292
71,Queeniiiiii,6569866
72,Feivel D MauS,5731734
73,Tyskie 66,5529006
74,Itstheghoul,5375008
75,Space peak,5296240
76,The Pharo 2026,5209708
77,feimel,5189946
78,dome94G,4995108
79,Mischel89,4623750
80,Lilien1999,3936032
81,Sultan Murat X,3930544
82,SmartesGirl,3720982
83,ozzy5255,3720298
84,MetauChopf,3259700
85,MG Mayo,3241152
86,Fürst der Nazgûl,2899458
87,giMp,2537736
88,Tom12234455,2503250
89,K u r d o,2345210
90,Sanya Longer,2155148
91,Peridakles,1944500
92,yyyyyyvhhnmll,1176500
