position,name,points
1,"Sultan Murat X",12083000
2,"Bugab0o",11041500
3,"Fürstin",10221250
4,"2 s t y",10156750
5,"Queeniiiiii",9517875
6,"Jónny666",9275375
7,"cappu97",9244250
8,"supi pupi",9193625
9,"Skywölkchen",9161875
10,"Dejweed",9047000
11,"Fran171526",8959625
12,"LatastrophenUlli",8938625
13,"IefueT",8815625
14,"Golden FOX",8616625
15,"Peeter99",8454625
16,"UMY Stern",8332625
17,"azerty57",8169125
18,"Cluster82",8141875
19,"K E R S Y",8120625
20,"ozzy5255",8107875
21,"Mac1902",8060125
22,"Jacob Carter",8014375
23,"PHOENIX FOX",7997050
24,"feimel",7993250
25,"Last Wolf Warrior",7957250
26,"Tyskie 66",7937250
27,"Kotor47",7926750
28,"haasenpeter rex",7902125
29,"The Pharo 2026",7876075
30,"ECSI",7875125
31,"Bogo und Pini",7868000
32,"sunny75",7777625
33,"Tom12234455",7747625
34,"Haulsen",7726750
35,"Smowy",7691125
36,"Dragon blou",7659650
37,"Jimi777",7653875
38,"Kpiftw",7583750
39,"MrSajmonn",7573000
40,"SNPOL",7548625
41,"Last Arti",7514000
42,"Svela17",7502750
43,"Fürst der Nazgúl",7498250
44,"Aenwe",7463625
45,"giMp",7441250
46,"Dr Cal Lightman",7423750
47,"Toby Urbex",7407625
48,"jobcenter FFM",7406250
49,"Pawelte",7400875
50,"CalziferFire",7391625
51,"Kytrider",7371875
52,"Space peak",7359000
53,"Campio91",7342250
54,"Katerina77",7330625
55,"The Nanos",7323375
56,"Chrisiiii",7316750
57,"GaaGol",7316675
58,"SamoZlo",7294000
59,"MG Mayo",7266525
60,"Baba Basti",7257500
61,"Sphere8472",7251875
62,"JSheridan",7242500
63,"Li La LiNuS",7228750
64,"Pinsel20",7219875
65,"Leijonamieli",7210000
66,"Giorgiotown",7209750
67,"Marshalfery",7206512
68,"DragonWiz",7204000
69,"DaliborDaki",7202875
70,"jukata",7200000
71,"RAV28",7200000
72,"Itstheghoul",6782625
73,"Cheesynator",6162625
74,"waynowazza",5992750
75,"Himbeertony",5877375
76,"Bestia77",5804925
77,"fffeyz",5380625
78,"Feivel D MauS",4998375
79,"케포 부인",4940475
80,"Lilien1999",4856250
81,"EXITUS",4721125
82,"K u r d o",4546214
83,"Z4ID",4421875
84,"SmartesGirl",3422500
85,"Peridakles",3338500
86,"Schlabberbacke",3278125
87,"MiepStreet",3234000
88,"dome94G",2822250
89,"Sanya Longer",2805500
90,"yyyyyyvhhnmll",2150000
91,"VxClicker",1200000
92,"Mischel89",838500
