position,name,punkte
1,pizm8 ツ,41360324
2,Last Wolf Warrior,32045565
3,Kotor47,29268299
4,lefueT,21077746
5,Smowy,15423825
6,waynowazza,13804878
7,Haulsen,13243249
8,UMY Stern,12886936
9,PHOENIX FOX,12563148
10,haasenpeter rex,12042129
11,Kytrider,11987511
12,Feivel D MauS,11439807
13,Fran171526,11001713
14,supi pupi,10969893
15,Svela17,10877296
16,Bugab0o,10468662
17,Cluster82,9965148
18,cappu97,9859304
19,Giorgiotown,9224334
20,Dejweed,9216533
21,Li La LiNuS,8582527
22,Fürst der Nazgûl,8538973
23,Baba Basti,8531966
24,JSheridan,8493874
25,Dragon blou,8038429
26,K E R S Y,7938988
27,Sultan Murat X,7643570
28,DragonWiz,7625166
29,ECSI,7485576
30,DaliborDaki,7303160
31,SNPOL,7290894
32,Last Arti,7256449
33,sunny75,7220338
34,Aenwe,7218136
35,Campio91,7209767
36,CalziferFire,7202570
37,LatastrophenUlli,6680117
38,Queeniiiii,5984940
39,azerty57,5835874
40,Golden FOX,5687046
41,Jacob Carter,5456995
42,jukata,5154958
43,Z4ID,5004742
44,Bogo und Pini,4879237
45,Fürstin,4781315
46,Kpiftw,4161461
47,Toby Urbex,4004971
48,Mischel89,3808590
49,fffeyz,3768243
50,Sphere8472,3610043
51,ozzy5255,3602311
52,케포 부인,3504140
53,Tom12234455,3434365
54,Mac1902,3270514
55,Katerina77,3192764
56,Cheesynator,3095707
57,Itstheghoul,2914650
58,SmartesGirl,2878750
59,EXITUS,2750000
60,The Nanos,2711950
61,GaaGol,2691615
62,VxClicker,2649256
63,Jimi777,2520000
64,Peridakles,2508402
65,Jónny666,2435247
66,Sanya Longer,2417666
67,feimel,2380062
68,Peeter99,2358750
69,Leijonamieli,2311874
70,yyyyyyvhhnmll,2266777
71,Bestia77,2200000
72,The Pharo 2026,2119370
73,Space peak,2081250
74,Tyskie 66,1995159
75,K u r d o,1808658
76,MiepStreet,1518750
77,Dr Cal Lightman,1500000
78,Chrisiiii,1178351
79,Lilien1999,1000000
80,MetauChopf,900000
