position,name,points
1,pizm8 ツ,122252758
2,Kotor47,92701653
3,Smowy,84719467
4,Last Wolf Warrior,79796915
5,Fürst der Nazgúl,75532566
6,cappu97,73043815
7,lefueT,71246950
8,Feivel D MauS,67285542
9,K E R S Y,66245210
10,Cluster82,64486230
11,Haulsen,63921328
12,DaliborDaki,62679545
13,UMY Stern,62679395
14,Jacob Carter,62577861
15,azerty57,61269657
16,fffeyz,61138735
17,Giorgiotown,60929488
18,Fran171526,59824165
19,SNPOL,59807201
20,Bugab0o,59356881
21,supi pupi,59199208
22,DragonWiz,58597053
23,haasenpeter rex,58238331
24,JSheridan,58110462
25,ECSI,56774412
26,PHOENIX FOX,56395633
27,Kytrider,56376509
28,jukata,55660397
29,The Pharo 2026,55548647
30,Queeniiiiii,55319647
31,Fürstin,54406960
32,Campio91,53175568
33,Mischel89,52713382
34,Svela17,52697103
35,Baba Basti,52430362
36,Aenwe,51599648
37,Li La LiNuS,51122969
38,Dragon blou,50090786
39,waynowazza,49281641
40,Golden FOX,48942222
41,Dejweed,48798673
42,ozzy5255,48784537
43,Katerina77,48695625
44,Last Arti,48676374
45,CalziferFire,48617242
46,케포 부인,48113589
47,Bogo und Pini,46966993
48,Jimi777,46940584
49,LatastrophenUlli,46702703
50,Sultan Murat X,46371945
51,sunny75,45689157
52,SmartesGirl,45060527
53,Skywölkchen,45002889
54,Tom12234455,44946235
55,EXITUS,44170227
56,Sphere8472,42623039
57,Mac1902,42095782
58,feimel,41249357
59,Kpiftw,40675814
60,Toby Urbex,39644298
61,Cheesynator,39368498
62,Z4ID,38180619
63,Leijonamieli,38053738
64,Lilien1999,37339822
65,The Nanos,37192295
66,GaaGol,36114114
67,Itstheghoul,35749008
68,ToxicV9,35435241
69,Pinsel20,33983258
70,Space peak,33678221
71,Peeter99,32731972
72,jobcenter FFM,32577331
73,yyyyyyvhhnmll,30637892
74,Jónny666,30535128
75,MetauChopf,29197535
76,Sanya Longer,28662478
77,Dr Cal Lightman,27886475
78,Bestia77,26326222
79,VxClicker,24065151
80,dome94G,24028479
81,MiepStreet,23899709
82,Tyskie 66,22244908
83,Himbeertony,21249328
84,Peridakles,21244628
85,Azuuzz,17412479
86,K u r d o,14176638
87,Chrisiiii,12764685
