Position,Name,Punkte
1,[AZO]pizm8 ツ,3888083
2,[AZO]Smowy,2469947
3,[AZO]Cluster82,2181121
4,[AZO]Li La LiNuS,2069323
5,[AZO]Last Wolf Warrior,2042201
6,[AZO]Golden FOX,1875928
7,[AZO]dome94G,1566401
8,[AZO]azerty57,1489064
9,[AZO]Baba Basti,1466198
10,[AZO]lefueT,1426137
11,[AZO]JSheridan,1409704
12,[AZO]Mac1902,792518
13,[AZO]PHOENIX FOX,731973
14,[AZO]Sanya Longer,454229
15,[AZO]sunny75,367762
16,[AZO]CalziferFire,279712
17,[AZO]Queeniiiiii,210380
18,[AZO]Dragon blou,142773
19,[AZO]Fürstin,125776
20,[AZO]Katerina77,75784
