Position,Name,Punkte,
1,Giorgiotown,84491483,
2,Baba Basti,82584246,
3,Li La LiNuS,61600278,
4,PHOENIX FOX,56626539,
5,Bugab0o,50693664,
6,1efueT,44817129,
7,Queeniiiiii,44156290,
8,Kotor47,44066982,
9,Haulsen,42969750,
10,UMY Stern,40100850,
11,CalziferFire,38731629,
12,Smowy,38341682,
13,cappu97,37565852,
14,pizm8 ツ,37505712,
15,Fürstin,34903545,
16,Fran171526,34664193,
17,Tom12234455,34393558,
18,DragonWiz,34197187,
19,Kytrider,34067233,
20,JSheridan,33217526,
21,giMp,32538877,
22,Toby Urbex,29677323,
23,Aenwe,28677472,
24,Bestia77,28111615,
25,DaliborDaki,27327263,
26,Golden FOX,26512978,
27,Space peak,26504013,
28,Dejweed,24462316,
29,Sphere8472,23069741,
30,dome94G,22625950,
31,Dragon blou,22475311,
32,K u r d o,22309600,
33,K E R S Y,22217216,
34,SNPOL,22213906,
35,haasenpeter rex,21405000,
36,Last Arti,21272521,
37,Cluster82,21098092,
38,Leijonamieli,20742954,
39,supi pupi,20477291,
40,Svela17,20433589,
41,ECSI,18551606,
42,Jacob Carter,18507384,
43,LaFleur32,18413380,
44,The Nanos,17782232,
45,Last Wolf Warrior,17547312,
46,Katerina77,16526728,
47,Itstheghoul,16232193,
48,ozzy5255,15994450,
49,sunny75,14835275,
50,yyyyyyvhhnmll,14541048,
51,MiepStreet,13623130,
52,azerty57,13196884,
53,Chrisiiii,12956910,
54,Fürst der Nazgûl,12933632,
55,Sanya Longer,12587330,
56,Lilien1999,12217900,
57,SmartesGirl,12177256,
58,Mac1902,11963980,
59,Feivel D MauS,11829872,
60,Bogo und Pini,11636348,
61,Peeter99,11434938,
62,Tyskie 66,11265196,
63,GaaGol,11172723,
64,Campio91,10833417,
65,waynowazza,10790717,
66,jukata,10670559,
67,EXITUS,10537546,
68,LatastrophenUlli,10467328,
69,Pinsel20,10389973,
70,MetauChopf,9847491,
71,케포 부인,9052350,
72,fffeyz,8726503,
73,Peridakles,8450547,
74,Skywölkchen,8374666,
75,Dr Cal Lightman,8291522,
76,Kpiftw,7420402,
77,jobcenter FFM,7251159,
78,VxClicker,7208127,
79,Cheesynator,6863998,
80,The Pharo 2026,6714538,
81,Mischel89,6605770,
82,feimel,6521022,
83,Sultan Murat X,3962486,
84,Z4ID,3705528,
85,Himbeertony,3683984,
86,Seniorcoca,2775487,
