Position,Name,Punkte,Feedback
1,Bugab0o,26779350,
2,Itstheghoul,25467263,
3,Baba Basti,20973305,
4,SmartesGirl,20789885,
5,Kotor47,20359500,
6,cappu97,19656150,
7,Leijonamieli,17911445,
8,Queeniiiiii,17281722,
9,GaaGol,15920500,
10,Li La LiNuS,15896875,
11,Fürst der Nazgûl,15262185,
12,MetauChopf,14459805,
13,Dragon blou,13678165,
14,Sphere8472,13518416,
15,Svela17,13243424,
16,SNPOL,13213300,
17,Jacob Carter,13177587,
18,DaliborDaki,13060160,
19,supi pupi,13028085,
20,giMp,12918829,
21,Chrisiiii,12875525,
22,JSheridan,12646500,
23,Haulsen,12525722,
24,IefueT,12327640,
25,Fürstin,12312950,
26,Last Wolf Warrior,12234500,
27,PHOENIX FOX,12222005,
28,Kytrider,11955980,
29,Space peak,11756660,
30,DragonWiz,11704874,
31,Bestia77,11662890,
32,Lilien1999,11656500,
33,Peridakles,11655035,
34,Toby Urbex,11256366,
35,Sanya Longer,11132125,
36,LaFleur32,10901375,
37,Aenwe,10854901,
38,LatastrophenUlli,10818150,
39,ECSI,10725000,
40,Peeter99,10691625,
41,Bogo und Pini,10684175,
42,azerty57,10608915,
43,Tom12234455,10596979,
44,ozzy5255,10561530,
45,Feivel D MauS,10472641,
46,Golden FOX,10453897,
47,pizm8 ツ,10446770,
48,Tyskie 66,10260375,
49,K E R S Y,10116750,
50,Giorgiotown,10095450,
51,jukata,10036620,
52,Katerina77,10029210,
53,Fran171526,9649076,
54,ToxicV9,9586100,
55,Mac1902,9562875,
56,Mischel89,9552590,
57,Dejweed,9225300,
58,Sultan Murat X,9067750,
59,haasenpeter rex,8842125,
60,UMY Stern,8684625,
61,Z4ID,8383000,
62,Cluster82,8310000,
63,Kpiftw,8249175,
64,Smowy,8040856,
65,The Pharo 2026,7992820,
66,Campio91,7969240,
67,sunny75,7851055,
68,Pinsel20,7642374,
69,feimel,7552660,
70,waynowazza,7315592,
71,dome94G,7237000,
72,CalziferFire,7219650,
73,fffeyz,7218025,
74,jobcenter FFM,6207146,
75,MiepStreet,6030050,
76,yyyyyyvhhnmll,5412062,
77,Skywölkchen,4980375,
78,케포 부인,4954770,
79,Seniorcoca,4856580,
80,VxClicker,4608614,
81,EXITUS,3087500,
82,Dr Cal Lightman,2368250,
83,K u r d o,2348430,
84,Last Arti,1938750,
