Position,Name,Punkte,Feedback
1,Bugab0o,90059911,
2,Li La LiNuS,81166643,
3,Baba Basti,70795662,
4,JSheridan,65646847,
5,IefueT,59143247,
6,UMY Stern,58660280,
7,Haulsen,52269879,
8,pizm8 ツ,50551840,
9,Bogo und Pini,50033367,
10,Cluster82,46506882,
11,Dejweed,44237914,
12,Fürst der Nazgûl,43196592,
13,Last Wolf Warrior,42669417,
14,Kytrider,42404168,
15,sunny75,42287988,
16,supi pupi,41556707,
17,SmartesGirl,41392837,
18,Tyskie 66,40150810,
19,DaliborDaki,39399456,
20,Kotor47,38500330,
21,MetauChopf,35485498,
22,PHOENIX FOX,35462453,
23,haasenpeter rex,35108148,
24,cappu97,35068873,
25,Smowy,34928621,
26,Tom12234455,34813324,
27,jukata,34225837,
28,Sanya Longer,33499932,
29,Peeter99,33357495,
30,feimel,33161247,
31,Fran171526,32195259,
32,Aenwe,31095498,
33,Sultan Murat X,29647562,
34,Lilien1999,27996350,
35,K E R S Y,26823739,
36,Sphere8472,26385750,
37,Z4ID,25748405,
38,gIMp,25297137,
39,Fürstin,24653909,
40,Queeniiiiii,24633501,
41,SNPOL,24522446,
42,Chrisiiii,24213582,
43,Toby Urbex,24106387,
44,Giorgiotown,23894000,
45,Svela17,22693500,
46,Pinsel20,21685964,
47,ECSI,21303920,
48,Space peak,21167877,
49,Dragon blou,20883024,
50,DragonWiz,20778217,
51,azerty57,20650184,
52,Peridakles,20403375,
53,Golden FOX,20050300,
54,waynowazza,19662559,
55,Bestia77,19445661,
56,Katerina77,18399029,
57,jobcenter FFM,17880713,
58,CalziferFire,17483313,
59,Jacob Carter,17480139,
60,GaaGol,16543664,
61,LaFleur32,16472242,
62,Campio91,16276622,
63,EXITUS,16086750,
64,계포 부인,16040236,
65,Leijonamieli,16010194,
66,ozzy5255,15477069,
67,fffeyz,14825587,
68,dome94G,14252362,
69,yyyyyyvhhmnlI,12973104,
70,The Pharo 2026,12417444,
71,Feivel D MauS,12279334,
72,Mac1902,12166321,
73,ToxicV9,11811007,
74,LatastrophenUlli,11741250,
75,MiepStreet,11167729,
76,Itstheghoul,10500042,
77,Cheesynator,8318327,
78,Mischel89,7651850,
79,VxClicker,7554096,
80,Seniorcoca,7320860,
81,Kpiftw,7320000,
82,Dr Cal Lightman,7233124,
83,Himbeertony,3846266,
84,aلتاM,1114383,
85,K u r d o,3450,
