Position,Name,Punkte,Feedback
1,Li La LiNuS,40907640,
2,Baba Basti,31095150,
3,Smowy,25392284,
4,Last Wolf Warrior,25296830,
5,Queeniiiiii,23061630,
6,pizm8 ツ,22372492,
7,Haulsen,21442086,
8,cappu97,20648520,
9,supi pupi,20583330,
10,Kotor47,20409180,
11,Bugab0o,19385730,
12,SNPOL,18644657,
13,lefueT,18494970,
14,haasenpeter rex,18443278,
15,Fürst der Nazgûl,18240330,
16,dome94G,18103080,
17,JSheridan,18043710,
18,LaFleur32,17429300,
19,Giorgiotown,17361150,
20,Feivel D MauS,17306283,
21,Bogo und Pini,16456470,
22,Kytrider,16420140,
23,Cheesynator,16165324,
24,SmartesGirl,16123710,
25,Tom12234455,14796617,
26,Svela17,13298479,
27,PHOENIX FOX,13224498,
28,ToxicV9,13054926,
29,Golden FOX,12994830,
30,Fran171526,12815970,
31,jukata,12364620,
32,Fürstin,12262455,
33,Katerina77,11917958,
34,DaliborDaki,11838260,
35,MetauChopf,11714340,
36,Cluster82,11465940,
37,Peeter99,10592977,
38,azerty57,9528166,
39,ECSI,9027724,
40,Dr Cal Lightman,9026425,
41,feimel,8985038,
42,fffeyz,8911392,
43,Jacob Carter,8619710,
44,Dragon blou,8417990,
45,عليM,8260407,
46,Dejweed,8197350,
47,CalziferFire,8183790,
48,EXITUS,8121740,
49,Skywölkchen,7803825,
50,LatastrophenUlli,7710614,
51,Jónny666,7616675,
52,K E R S Y,7611450,
53,DragonWiz,7541626,
54,Kpiftw,7388626,
55,giMp,7385820,
56,Mac1902,7330820,
57,Aenwe,7237563,
58,GaaGol,7236941,
59,Chrisiiii,7207440,
60,Mischel89,6633639,
61,yyyyyyvhhnmll,6511901,
62,Sanya Longer,5982475,
63,Seniorcoca,5818633,
64,Toby Urbex,5364268,
65,Leijonamieli,5081902,
66,Z4ID,5036870,
67,waynowazza,4805328,
68,계프 부인,4572941,
69,Sultan Murat X,4403375,
70,Tyskie 66,4252140,
71,K u r d o,3953574,
72,ozzy5255,3897240,
73,sunny75,3835830,
74,VxClicker,3749304,
75,UMY Stern,3420800,
76,Pinsel20,3272215,
77,Bestia77,3142660,
78,The Pharo 2026,2950725,
79,Itstheghoul,2939775,
80,MiepStreet,1980460,
81,Space peak,1889402,
82,Himbeertony,1862375,
83,Sphere8472,1622500,
84,jobcenter FFM,1529826,
85,Lilien1999,1335600,
86,Campio91,896000,
