Position,Name,Punkte
1,Li La LiNuS,263823962
2,Baba Basti,252243418
3,Bugab0o,242704943
4,lefueT,181296879
5,Kotor47,173648318
6,Giorgiotown,171252092
7,pizm8 ツ,167762752
8,Haulsen,163234078
9,JSheridan,156303029
10,UMY Stern,153138776
11,supi pupi,152912708
12,Kytrider,150552306
13,Fran171526,145204171
14,cappu97,143605704
15,Queeniiiii,140363102
16,PHOENIX FOX,136884088
17,Dejweed,126594816
18,Smowy,126592492
19,Bogo und Pini,119495272
20,Last Wolf Warrior,115224086
21,haasenpeter rex,113379778
22,SNPOL,111792981
23,Cluster82,111495865
24,Tom12234455,109288875
25,SmartesGirl,106862405
26,DaliborDaki,105652556
27,giMp,104961819
28,Fürst der Nazgúl,104914386
29,Aenwe,103422884
30,Fürstin,102929834
31,Tyskie 66,102327460
32,Svela17,96627051
33,MetauChopf,91095454
34,DragonWiz,91064613
35,Sphere8472,90302502
36,Golden FOX,88283902
37,dome94G,87961108
38,CalziferFire,87227755
39,Chrisiiii,86323765
40,jukata,86037497
41,Toby Urbex,85819789
42,ECSI,84433457
43,sunny75,83472221
44,Dragon blou,83125399
45,LaFleur32,82641116
46,K E R S Y,81576278
47,Peeter99,79278056
48,Sanya Longer,77942086
49,Jacob Carter,77910131
50,Space peak,75539616
51,Leijonamieli,72989496
52,azerty57,72135779
53,feimel,71926989
54,Katerina77,71801747
55,Lilien1999,69953325
56,Itstheghoul,67626879
57,Feivel D MauS,67346930
58,GaaGol,66315881
59,ozzy5255,65261835
60,yyyyyyvhhnmll,65196017
61,Sultan Murat X,63731287
62,ToxicV9,61202953
63,Z4ID,60798477
64,EXITUS,60385131
65,Pinsel20,57590441
66,LatastrophenUlli,56316782
67,Peridakles,55207724
68,waynowazza,54342929
69,fffeyz,54253010
70,Mac1902,53493204
71,계포 부인,47757247
72,Campio91,47347616
73,Cheesynator,44818311
74,jobcenter FFM,44560762
75,MiepStreet,43923945
76,Kpiftw,41575258
77,The Pharo 2026,41026482
78,Dr Cal Lightman,37333821
79,Mischel89,36813164
80,VxClicker,33782398
81,K u r d o,30151950
82,Skywölkchen,28520066
83,Seniorcoca,27888756
84,Last Arti,23803252
85,The Nanos,18990165
86,عہM,15296952
87,Himbeertony,9392625
88,Jónny666,8551251
