Position,Name,Points
1,Bugab0o,67522078
2,Space peak,52458519
3,LaFleur32,48654844
4,Chrisiiii,48049680
5,Golden FOX,42839860
6,Svela17,42368241
7,Smowy,42298563
8,SNPOL,41664641
9,Baba Basti,40955900
10,Bogo und Pini,40607595
11,SmartesGirl,38294435
12,Last Wolf Warrior,37202166
13,LatastrophenUlli,35677986
14,Cluster82,35216694
15,Giorgiotown,34776493
16,DragonWiz,33264332
17,K E R S Y,32492146
18,jukata,31187958
19,cappu97,30416908
20,ECSI,29439649
21,EXITUS,28819782
22,Kytrider,28167348
23,ToxicV9,28148995
24,Fürst der Nazgûl,28111197
25,Aenwe,27954564
26,Leijonamieli,27946528
27,Tom12234455,27906329
28,Dragon blou,27588621
29,Li La LiNuS,27477267
30,Fran171526,27302423
31,Kotor47,26872617
32,UMY Stern,26660114
33,PHOENIX FOX,26626400
34,giMp,25763179
35,Feivel D MauS,25503661
36,supi pupi,24573160
37,ozzy5255,23132980
38,Mischel89,22940818
39,Queeniiiiii,22937995
40,Toby Urbex,22626597
41,Fürstin,22237079
42,fffeyz,22200200
43,Haulsen,22192449
44,azerty57,22098176
45,Sphere8472,21953270
46,yyyyyyvhhnmll,21128745
47,케프 부인,21021916
48,DaliborDaki,20738095
49,pizm8 ツ,20564578
50,JSheridan,19890891
51,waynowazza,19291273
52,Z4ID,18994471
53,GaaGol,18150666
54,Itstheghoul,17897279
55,Archy Monkey,17802695
56,اLãM,17683744
57,Pinsel20,17662213
58,haasenpeter rex,17616374
59,Peeter99,16648751
60,Sanya Longer,16097868
61,Tyskie 66,15951010
62,Campio91,15878656
63,Mac1902,15030289
64,CalziferFire,14346912
65,The Pharo 2026,14242898
66,K u r d o,13820158
67,MetauChopf,13603194
68,feimel,13578572
69,Sultan Murat X,13549790
70,Cheesynator,12152707
71,Lilien1999,11758600
72,sunny75,11403001
73,MiepStreet,10940880
74,dome94G,10874500
75,Seniorcoca,10620723
76,Dejweed,10418843
77,Katerina77,10173425
78,jobcenter FFM,10110290
79,Anakín,8483329
80,Dr Cal Lightman,7882120
81,VxClicker,7804500
82,lefueT,7702369
83,Kpiftw,7491620
