position;name;rank;points
1;azerty57;R3;116650
2;cappu97;R4;79800
3;Archy Monkey;R3;79100
4;CL16CS55;R2;69300
5;Anakín;R3;67750
6;jukata;R3;66450
7;Bogo und Pini;R3;65950
8;Svela17;R3;64900
9;Bugab0o;R3;64500
10;Queeniiiiii;R5;63800
11;K E R S Y;R3;62300
12;Space peak;R3;60950
13;Kytrider;R4;60050
14;Smowy;R4;59650
15;JSheridan;R4;59100
16;waynowazza;R3;58800
17;ECSI;R3;58500
18;Last Wolf Warrior;R3;58150
19;Golden FOX;R3;56350
20;JSnoopy;R2;55750
21;supi pupi;R4;55650
22;Kpiftw;R2;55350
23;Toby Urbex;R3;54550
24;Adàm;R3;54100
25;Cluster82;R3;53750
26;Moooolah;R2;52850
27;SNPOL;R3;52600
28;lefueT;R3;52500
29;111Dave111;R2;51950
30;PHOENIX FOX;R4;50450
31;DragonWiz;R3;49050
32;pizm8 ツ;R4;48250
33;Fürstin;R3;47900
34;PHILAES;R2;47900
35;Sanya Longer;R3;47450
36;GaaGol;R3;47400
37;CalziferFire;R3;47200
38;LaFleur32;R3;47100
39;Baba Basti;R3;46900
40;Dejweed;R3;46750
41;Sphere8472;R3;46700
42;Kotor47;R3;46550
43;Adhd9;R3;46150
44;Fran171526;R4;45700
45;Babakuji;R2;45450
46;Mudin364;R2;45300
47;Fluffy;R2;44750
48;Campio91;R2;44300
49;Dragon blou;R3;44250
50;DaliborDaki;R3;44250
51;SmartesGirl;R3;43900
52;The Pharo 2026;R2;43850
53;EXITUS;R3;43750
54;نتاجM;R3;43700
55;Fürst der Nazgûl;R4;43700
56;Giorgiotown;R3;42900
57;Pinsel20;R3;42750
58;Aenwe;R3;42200
59;sunny75;R3;42000
60;Cichax0;R2;41750
61;Seniorcoca;R2;41300
62;Chrisiiii;R3;41100
63;계포 부인;R3;40750
64;ozzy5255;R3;40700
65;LatastrophenUlli;R3;40350
66;Feivel D Maus;R2;40300
67;Katerina77;R3;40100
68;fffeyz;R3;39600
69;Li La LiNuS;R3;39350
70;haasenpeter rex;R4;38650
71;Sultan Murat X;R2;38500
72;Tyskie 66;R3;37400
73;feimel;R3;36750
74;Tom12234455;R3;36750
75;UMY Stern;R3;36550
76;Peeter99;R3;34700
77;Haulsen;R3;33450
78;Leijonamieli;R3;33450
79;jobcenter FFM;R3;32550
80;yyyyyyvhnmll;R2;32250
81;FugitiveRazor1;R2;30550
82;giMp;R3;29550
83;Mac1902;R2;29500
84;MiepStreet;R1;24200
85;K u r d o;R1;22500
86;Lilien1999;R2;22300
87;dome94G;R3;22300
88;z4ID;R2;21400
89;Mischel89;R1;18250
90;VxClicker;R1;16100
91;Cheesynator;R2;13100
92;MetauChopf;R3;12200
93;Dr Cal Lightman;R2;12050
94;Himbeertony;R2;8950
95;Jónny666;R2;5000
96;Captain ESCANOR;R2;1950
97;SNEAKY BUNNY;R2;250
98;Skywölkchen;R2;0
99;CalibratGTR;R1;0
