position;name;points
1;Fluffy;187593581
2;Kotor47;177694097
3;Adäm;173819208
4;Moooolah;164413307
5;111Dave111;155529415
6;Fürst der Nazgúl;140064457
7;Smowy;136228457
8;Cichax0;134994834
9;UMY Stern;127783826
10;supi pupi;124851517
11;Baba Basti;124065988
12;Anakín;122994322
13;Babakuji;116859644
14;LaFleur32;108708596
15;JSnoopy;108339298
16;JSheridan;108225107
17;Kytrider;104484925
18;pizm8 ツ;103825670
19;Adhd9;103746717
20;Bogo und Pini;102379289
21;FugitiveRazor1;101835763
22;Haulsen;100053333
23;Cluster82;99968682
24;Li La LiNuS;99622583
25;Fran171526;98959345
26;cappu97;96562743
27;Archy Monkey;95984865
28;Sphere8472;94842935
29;CL16CS55;90791402
30;haasenpeter rex;89548098
31;DaliborDaki;89430426
32;PHILAES;88775777
33;SmartesGirl;88457895
34;Queeniiiiii;87545898
35;SNPOL;85610269
36;ECSI;85607343
37;BugaB0o;83587740
38;Toby Urbex;82869613
39;Aenwe;81969403
40;Svela17;79049957
41;Giorgiotown;78536378
42;sunny75;77811821
43;عليM;77531751
44;K E R S Y;77070927
45;Dragon blou;74197697
46;PHOENIX FOX;73972537
47;Dejweed;73785257
48;lefueT;73763622
49;Mudin364;73383397
50;jukata;72833076
51;Peeter99;72167036
52;Fürstin;71612605
53;Pinsel20;70262229
54;Last Wolf Warrior;69796350
55;Tom12234455;68071904
56;Lilien1999;66185768
57;waynowazza;65934520
58;azerty57;64368539
59;Tyskie 66;63560045
60;Golden FOX;62739765
61;CalziferFire;62350466
62;feimel;61209143
63;GaaGol;61005062
64;fffeyz;60045483
65;Leijonamieli;59897974
66;DragonWiz;59003514
67;Feivel D MauS;57848318
68;케포 부인;57449108
69;EXITUS;55927959
70;Seniorcoca;53513786
71;The Pharo 2026;52790009
72;LatastrophenUlli;51959441
73;Katerina77;51385878
74;Campio91;50646422
75;Mischel89;50070911
76;Sultan Murat X;45765966
77;Space peak;45564296
78;dome94G;43987007
79;Chrisiiii;43475323
80;ozzy5255;43339882
81;VxClicker;43331458
82;Kpiftw;41092237
83;Z4ID;39299321
84;giMp;38234433
85;Mac1902;35125771
86;yyyyyyvhhnmll;32565787
87;jobcenter FFM;32161936
88;Sanya Longer;30974666
89;Cheesynator;30756275
90;MiepStreet;28258367
91;K u r d o;23485481
92;Dr Cal Lightman;20890125
93;MetauChopf;16469861
94;Himbeertony;5021747
95;Jónny666;1819794
