position;name;points
1;Moooolah;3718683
2;Archy Monkey;3217926
3;Fran171526;3072352
4;Adàm;3025047
5;Li La LiNuS;2506040
6;UMYstern;2393332
7;BugabOo;2244285
8;PHILAES;2215177
9;Cluster82;2139260
10;adhd9;1930544
11;Baba Basti;1668758
12;Fluffy;1573475
13;Anakin;1560373
14;PHOENIX FOX;1286651
15;Golden FOX;1132983
16;CL16CS55;1082312
17;DaliborDaki;761596
18;Last Wolf Warrior;733758
19;JSnoopy;691238
20;Captain ESCANOR;617840
21;Sanya Longer;217402
22;Mac1902;205238
23;Campio91;136368
24;Sphere8472;25813
