position;name;points
1;Seniorcoca;17321462
2;PHOENIX FOX;16692119
3;supi pupi;14533088
4;Cluster82;14247462
5;Kotor47;12146284
6;waynowazza;11806313
7;lefueT;11797530
8;LE LIGRE;10396114
9;DragonWiz;10336069
10;sunny75;10199766
11;Mudin364;10001917
12;Mac1902;9869150
13;fffeyz;9718059
14;Svela17;9679280
15;pizm8 ツ;9672030
16;Archy Monkey;9522779
17;mybo0;9504567
18;CalibratGTR;9341986
19;cappu97;9284292
20;111Dave111;9268168
21;jukata;9110937
22;UMYstern;8900381
23;Fürstin;8826409
24;Fran171526;8786233
25;Tyskie 66;8766993
26;K E R S Y;8739851
27;Katerina77;8734899
28;SNPOL;8630643
29;VxClicker;8626250
30;ENG ḳ;8606926
31;adhd9;8569108
32;Toby Urbex;8566734
33;Tom12234455;8556802
34;Aenwe;8526624
35;Captain ESCANOR;8493102
36;scotch2013;8450292
37;Chrisiiii;8429362
38;Smowy;8362268
39;CL16CS55;8355640
40;Kytrider;8354048
41;SNEAKY BUNNY;8301992
42;Fluffy;8298321
43;Anakín;8225448
44;Bogo und Pini;8215239
45;Queeniiiii;8175691
46;haasenpeter rex;8145412
47;Li La LiNuS;8132073
48;jobcenter FFM;8128436
49;PHILAES;8090498
50;Kpiftw;8036527
51;DaliborDaki;7921721
52;giMp;7883903
53;Last Wolf Warrior;7860866
54;Pinsel20;7853325
55;Sultan Murat X;7844808
56;Dragon blou;7825284
57;EXITUS;7812482
58;Mischel89;7809089
59;ECSI;7777692
60;Sphere8472;7764142
61;Leijonamieli;7752373
62;Campio91;7717725
63;CalziferFire;7714702
64;Giorgiotown;7705248
65;Cichax0;7702293
66;Lilien1999;7699640
67;FugitiveRazor1;7657305
68;Dr Cal Lightman;7613930
69;Baba Basti;7502799
70;GaaGol;7490091
71;Dejweed;7407350
72;Babakuji;7390841
73;Golden FOX;7349176
74;feimel;7345791
75;Bugab0o;7311773
76;JSnoopy;7290825
77;JSheridan;7269696
78;MiepStreet;7255900
79;Feivel D MauS;7240624
80;Mooolah;7205688
81;Adám;7204751
82;تآM;6609569
83;Peeter99;5993625
84;ozzy5255;5761965
85;Sanya Longer;5497388
86;azerty57;5241965
87;The Pharo 2026;4334120
88;SmartesGirl;4194234
89;Fürst der Nazgûl;3736303
90;LatastrophenUlli;3238125
91;Space peak;3036969
92;yyyyyyvhhnmll;2399385
93;dome94G;1563750
94;K u r d o;1487250
95;Haulsen;1113750
