position;name;points
1;Fürst der Nazgûl;15057450
2;تاجM;12670675
3;Bugab0o;12366300
4;Seniorcoca;12019850
5;Last Wolf Warrior;11262300
6;ECSI;11100750
7;waynowazza;10705200
8;supi pupi;10674150
9;dome94G;10328250
10;CalibratGTR;10281120
11;giMp;10068450
12;Bogo und Pini;9933150
13;sunny75;9794550
14;Smowy;9558000
15;lefueT;9457950
16;LE LIGRE;9393625
17;Dejweed;9391800
18;mybo0;9310200
19;JSheridan;9287550
20;ozzy5255;9211700
21;Cluster82;9171750
22;cappu97;9035850
23;PHILAES;8997950
24;yyyyyyvhhnmll;8839950
25;Mischel89;8765355
26;UMYstern;8729434
27;Feivel D MauS;8708910
28;Tom12234455;8685750
29;Archy Monkey;8640503
30;Leijonamieli;8622900
31;DragonWiz;8580000
32;The Pharo 2026;8453930
33;Baba Basti;8441100
34;jukata;8367150
35;Queeniiiiii;8343900
36;pizm8 ツ;8310530
37;DaliborDaki;8275280
38;azerty57;8218200
39;feimel;8186100
40;Captain ESCANOR;8173350
41;Anakín;8172740
42;Mudin364;8145000
43;FugitiveRazor1;8137990
44;K E R S Y;8136750
45;Sphere8472;8134650
46;Peeter99;8094450
47;SNPOL;8068050
48;Kytrider;7990200
49;GaaGol;7989750
50;Fluffy;7970850
51;Giorgiotown;7969650
52;Li La LiNuS;7941000
53;Aenwe;7884600
54;haasenpeter rex;7858446
55;JSnoopy;7832250
56;Fran171526;7794000
57;Golden FOX;7793250
58;Cichax0;7776355
59;PHOENIX FOX;7773300
60;Kotor47;7772400
61;Toby Urbex;7707900
62;Fürstin;7639950
63;ENG ḳ;7612225
64;scotch2013;7575475
65;Katerina77;7531500
66;111Dave111;7529200
67;Lilien1999;7521900
68;adhd9;7433375
69;Sultan Murat X;7363225
70;Svela17;7361700
71;Dragon blou;7351460
72;Chrisiiii;7331100
73;MiepStreet;7298960
74;Moooolah;7287050
75;LatastrophenUlli;7274850
76;Pinsel20;7269750
77;Kpiftw;7267950
78;CalziferFire;7263450
79;Campio91;7263100
80;cL16CS55;7236637
81;SNEAKY BUNNY;7233900
82;jobcenter FFM;7214835
83;SmartesGirl;7211400
84;fffeyz;7206980
85;Adăm;6919350
86;Space peak;6221700
87;Tyskie 66;6213450
88;Haulsen;4840500
89;Mac1902;4685250
90;EXITUS;3615000
91;Babakuji;3603925
92;Sanya Longer;3511000
93;K u r d o;1703000
