position;name;points
1;waynowazza;31404863
2;Cluster82;30641128
3;fffeyz;29249095
4;Queeniiiiii;24974392
5;KERSY;22674829
6;cappu97;21837199
7;Feivel D MauS;21602749
8;DragonWiz;20544107
9;pizm8 ツ;20471785
10;mybo0;20094880
11;Fürstin;19617469
12;FugitiveRazor1;17709228
13;Fran171526;17525375
14;The Pharo 2026;16588760
15;Last Wolf Warrior;16368160
16;Campio91;15910696
17;Mischel89;15530404
18;azerty57;15461106
19;Sultan Murat X;15356088
20;jobcenter FFM;15311314
21;تاجM;15166340
22;Golden FOX;14135000
23;EXITUS;13369500
24;PHILAES;13228463
25;JSnoopy;12718408
26;supi pupi;12617000
27;111Dave111;12566286
28;Li La LiNuS;12532104
29;DaliborDaki;11640856
30;ozzy5255;11616608
31;haasenpeter rex;11595103
32;Adám;11584237
33;adhd9;11433504
34;SmartesGirl;11430243
35;Captain ESCANOR;11324713
36;Giorgiotown;11065450
37;Bogo und Pini;11056114
38;SNPOL;10977983
39;Kytrider;10934082
40;Kotor47;10562000
41;Sphere8472;10438618
42;Archy Monkey;10390900
43;Dragon blou;10332072
44;Fürst der Nazgûl;10161591
45;Katerina77;9869500
46;LE LIGRE;9666454
47;CalziferFire;9436292
48;LatastrophenUlli;9181919
49;Dejweed;9051725
50;Cichax0;9021543
51;dome94G;8820000
52;Peeter99;8803323
53;CalibratGTR;8769952
54;IefueT;8766208
55;ENG ḳ;8741493
56;GaaGol;8625704
57;MiepStreet;8566566
58;Baba Basti;8475800
59;sunny75;8352680
60;Aenwe;8329343
61;UMYstern;8290075
62;Mudin364;8276766
63;giMp;8260540
64;JSheridan;8244043
65;jukata;8138590
66;feimel;8137211
67;CL16CS55;8050145
68;Smowy;7948803
69;Kpiftw;7915548
70;ECSI;7867420
71;Tyskie 66;7857133
72;Mac1902;7847130
73;Bugab0o;7790207
74;Dr Cal Lightman;7689090
75;Svela17;7682500
76;Sanya Longer;7682358
77;Leijonamieli;7677209
78;Toby Urbex;7650680
79;scotch2013;7592107
80;PHOENIX FOX;7420000
81;SNEAKY BUNNY;7402376
82;Fluffy;7377118
83;Lilien1999;7355784
84;yyyyyyvhhnmll;7314343
85;Anakín;7312156
86;Pinsel20;7290000
87;Babakuji;7264763
88;Tom12234455;7242500
89;Chrisiiii;7220358
90;Moooolah;7200818
91;Space peak;2016612
92;Kurdo;1763450
93;Seniorcoca;4500
