position;name;points
1;cappu97;29990940
2;Smowy;29053950
3;Anakín;27207776
4;supi pupi;27034170
5;JSheridan;26422350
6;pizm8 ツ;22804316
7;Fran171526;20547630
8;Adám;19933140
9;CL16CS55;19848455
10;Kytrider;19828170
11;Moooolah;18182580
12;Fürst der Nazgûl;18170640
13;Queeniiiii;17638200
14;Archy Monkey;17160333
15;adhd9;17000825
16;Bogo und Pini;16941720
17;DaliborDaki;16580257
18;Cluster82;16226670
19;SNEAKY BUNNY;16107660
20;SNPOL;16030920
21;PHOENIX FOX;15941197
22;Mischel89;15440760
23;JSnoopy;14620440
24;Dragon blou;14466086
25;CalziferFire;14448330
26;azerty57;14404170
27;LE LIGRE;13824175
28;Svela17;13013640
29;Kotor47;12987060
30;Fürstin;12377910
31;UMYstern;12247104
32;Sanya Longer;11882300
33;Sphere8472;11754720
34;111Dave111;11516036
35;SmartesGirl;11276700
36;Golden FOX;10830480
37;Dejweed;10746990
38;Katerina77;10529130
39;Li La LiNuS;10401240
40;Fluffy;10138830
41;mybo0;9796070
42;haasenpeter rex;9569700
43;lefueT;9423330
44;FugitiveRazor1;9290164
45;BugaBoo;9266010
46;Cichax0;9239430
47;Aenwe;9147870
48;Mudin364;9034050
49;Baba Basti;8924820
50;K E R S Y;8859360
51;Captain ESCANOR;8634510
52;PHILAES;8463413
53;feimel;8078790
54;Babakuji;8022588
55;Tom12234455;8022208
56;عـلـيM;8007923
57;DragonWiz;7991640
58;fffeyz;7969752
59;Chrisiiii;7955070
60;Campio91;7944348
61;ECSI;7902000
62;Lilien1999;7791600
63;Mac1902;7592548
64;EXITUS;7408290
65;GaaGol;7399025
66;Giorgiotown;7396230
67;sunny75;7379760
68;LatastrophenUlli;7374090
69;CalibratGTR;7345012
70;jukata;7249680
71;Leijonamieli;7221660
72;waynowazza;6840627
73;Peeter99;6599460
74;Tyskie 66;5762550
75;giMp;5671890
76;Himbeertony;5436600
77;dome94G;5060490
78;Sultan Murat X;4927830
79;Toby Urbex;4813320
80;Space peak;4449840
81;ozzy5255;4389546
82;Last Wolf Warrior;4371030
83;jobcenter FFM;4201485
84;Pinsel20;3905790
85;Kpiftw;3714150
86;The Pharo 2026;3711070
87;VxClicker;3618300
88;Feivel D MauS;3586527
89;Seniorcoca;3517821
90;scotch2013;2766008
91;yyyyyyvhhnmll;2650080
92;MetauChopf;2159880
93;K u r d o;2023172
94;MiepStreet;1652000
95;Dr Cal Lightman;900000
96;ENG ḳ;736425
