Position,Name,Points
1,[AZO]SNEAKY BUNNY,4969235
2,[AZO]supi pupi,4054248
3,[AZO]Last Wolf Warrior,1947839
4,[AZO]Aenwe,1616624
5,[AZO]Fran171526,1574513
6,[AZO]Kotor47,1279630
7,[AZO]haasenpeter rex,1159596
8,[AZO]Pawelte,890840
9,[AZO]Svela17,815049
10,[AZO]Jónny666,565402
11,[AZO]Campio91,548944
12,[AZO]Hhjjjjcg,510920
13,[AZO]Kytrider,473928
14,[AZO]Dejweed,441510
15,[AZO]SNPOL,349062
16,[AZO]jukata,321876
17,[AZO]Bogo und Pini,320950
18,[AZO]Amir Yakuza,318095
19,[AZO]GaaGol,298886
20,[AZO]Christo30,181500
21,[AZO]Jimi777,74309
22,[AZO]Sultan Murat X,39513
