Position,Name,Punkte
1,Fran171526,48972074
2,Li La LiNuS,43685886
3,Bugab0o,38300418
4,RAV28,32182570
5,MrSajmonn,31569518
6,SNEAKY BUNNY,30476452
7,Haulsen,29757818
8,Kotor47,29652418
9,Smowy,29056976
10,Fürst der Nazgûl,28965820
11,Gordon Freimann,28335546
12,Kyrtider,27457204
13,Jónny666,27401760
14,Bogo und Pini,27216938
15,Baba Basti,26976228
16,Tyskie 66,25550432
17,supi pupi,22453172
18,Kurdo,22437424
19,Tom12234455,21810650
20,Christo30,21715226
21,케포 부인,21169370
22,Jacob Carter,20801432
23,Sanya Longer,19536694
24,ozzy5255,16185790
25,SNPOL,16020812
26,sunny75,15728168
27,Sphere8472,15549012
28,Dragon blou,15240234
29,Amir Yakuza,15163232
30,Katerina77,14573862
31,Toby Urbex,14043264
32,DragonWiz,13650638
33,Z4ID,13491932
34,Fürstin Elora,12344180
35,Pawelte,12224650
36,Dejweed,11980776
37,fffeyz,11963632
38,cappu97,11705824
39,CalziferFire,11316688
40,UMY Stern,11208944
41,Giorgiotown,11071710
42,dome94G,11035120
43,Hhjjjjcg,10782228
44,Marshalfery,10713116
45,GaaGol,10333692
46,haasenpeter rex,10283044
47,Cluster82,10166714
48,Kpiftw,10137254
49,Bestia77,9979744
50,The Pharo 2026,9945920
51,Dr Cal Lightman,9736904
52,KERSY,9659194
53,Aenwe,9639764
54,Mac1902,9639370
55,feimel,9631766
56,Himbeertony,9600936
57,Last Arti,9110194
58,FATUUM,9072132
59,EXITUS,8956266
60,TheShorty,8856844
61,PHOENIX FOX,8838376
62,Cheesynator,8827396
63,Svela17,8694660
64,Pinsel20,8658432
65,jukata,8431662
66,Jimi777,8337728
67,Skywölkchen,8085222
68,LatastrophenUlli,8017340
69,lefueT,8010998
70,SmartesGirl,7939356
71,ECSI,7803944
72,DaliborDaki,7750500
73,JSheridan,7743504
74,2 s t y,7630136
75,SamoZlo,7536262
76,Leijonamieli,7535418
77,Sultan Murat X,7509966
78,jobcenter FFM,7393618
79,Peridakles,7237906
80,Lilien1999,7235312
81,MG Mayo,5454224
82,Schlabberbacke,4818420
83,azerty57,4736278
84,Mischel89,4632678
85,The Nanos,4359904
86,Itstheghoul,4213144
87,VxClicker,3807068
88,Last Wolf Warrior,3740822
89,MiepStreet,2580624
90,yyyyyvhhnmll,2553306
91,Queen from AZO,2422340
92,Feivel D Maus,1210750
93,MetauChopf,2250
