Position,Name,Punkte
1,Kpiftw,101364284
2,RAV28,98429326
3,supi pupi,90249968
4,Fürst der Nazgúl,80802835
5,Bugab0o,76357159
6,2 s t y,74852544
7,SNPOL,74003238
8,UMY Stern,71867012
9,Baba Basti,70926390
10,Kotor47,70924279
11,Queeniiii,68595996
12,Smowy,67850818
13,Haulsen,66145754
14,Marshalferry,65925250
15,haasenpeter rex,65379150
16,Jacob Carter,65378460
17,Cluster82,65180308
18,fffeyz,63508566
19,JSheridan,63386325
20,DragonWiz,62964763
21,lefueT,62608356
22,jukata,60936729
23,cappu97,60919218
24,feimel,60258763
25,jobcenter FFM,58605864
26,Jónny666,57944758
27,Fran171526,56435223
28,MG Mayo,56113617
29,Dragon blou,55758752
30,sunny75,54707724
31,Bestia77,54484505
32,Li La LiNuS,54275494
33,Peridakles,54263210
34,azerty57,54255773
35,Himbeertony,54128120
36,Itstheghoul,54023605
37,Aenwe,53771163
38,Giorgiotown,53085499
39,dome94G,52724435
40,DaliborDaki,52693227
41,Fürstin,52463258
42,Golden FOX,52017407
43,Gordon Freimann,51988733
44,Dejweed,51978750
45,MrSajmonn,51911411
46,케포 부인,51865223
47,Jimi777,51582792
48,PHOENIX FOX,51541009
49,Skywölkchen,51094630
50,Kytrider,50669033
51,Peeter99,50651519
52,EXITUS,50494099
53,Dr Cal Lightman,50257862
54,Schlabberbacke,50040083
55,GaaGol,49309906
56,Katerina77,49254372
57,Sphere8472,48847533
58,Bogo und Pini,48704405
59,K E R S Y,48383028
60,SmartesGirl,48336083
61,Sultan Murat X,48174658
62,Hhjjjjcg,48172462
63,Christo30,48114854
64,The Pharo 2026,47674358
65,waynowazza,47138840
66,Toby Urbex,47116592
67,Lilien1999,46872371
68,Svela17,46809260
69,Campio91,46709070
70,Pawelte,46273351
71,Mac1902,45938836
72,ozzy5255,45254661
73,Tyskie 66,44671713
74,Z4ID,44492012
75,SamoZlo,44250529
76,CalziferFire,43972269
77,LatastrophenUlli,43908570
78,Last Arti,43707983
79,Tom12234455,43627374
80,ECSI,42116641
81,Cheesynator,40249362
82,giMp,39811378
83,Mischel89,39474122
84,Feivel D Maus,38903444
85,The Nanos,37730646
86,MiepStreet,34184107
87,VxClicker,33513532
88,Leijonamieli,31737264
89,Last Wolf Warrior,30750226
90,TheShorty,29057133
91,yyyyyyvhnmll,27342525
92,Space peak,26831858
93,MetauChopf,22764686
94,Sanya Longer,22031095
95,Pinsel20,17199549
96,K u r d o,14121883
