position,name,points
1,Svela17,68739858
2,Bugab0o,62324184
3,Baba Basti,57634756
4,Cluster82,53863700
5,Kotor47,47426342
6,Last Wolf Warrior,46535710
7,azerty57,45376704
8,cappu97,43572330
9,PHOENIX FOX,43468592
10,lefueT,42336566
11,haasenpeter rex,40328314
12,MellidieGroße,38885628
13,Fürstin,36563610
14,Feivel D MauS,36467500
15,KERSY,36445848
16,jukata,36208156
17,Christo30,32484662
18,MetauChopf,32189988
19,Queeniiiii,31283092
20,Tom12234455,30890876
21,Aenwe,30319646
22,Fran171526,28790544
23,Pawelte,28460852
24,Space peak,28245708
25,Sphere8472,28034450
26,giMp,27242500
27,Giorgiotown,27053802
28,Haulsen,26251222
29,SNPOL,26058704
30,GaaGol,25644298
31,sunny75,25267438
32,Katerina77,24505274
33,SmartesGirl,24430530
34,Sanya Longer,24369136
35,DaliborDaki,24254000
36,ECSI,23813444
37,UMY Stern,23450214
38,SamoZlo,22827554
39,Toby Urbex,21736874
40,Kpiftw,21721022
41,Last Arti,21522850
42,Bestia77,21245050
43,Li La LiNuS,20841712
44,waynowazza,19271954
45,Dejweed,18962254
46,Himbeertony,18758120
47,Dragon blou,18452814
48,Tyskie 66,17326724
49,Marshalfery,16848946
50,feimel,16827604
51,Smowy,16635768
52,dome94G,15575652
53,Jacob Carter,15511578
54,Leijonamieli,15362908
55,Z4ID,14881100
56,MiepStreet,14766150
57,Lilien1999,14254492
58,케포 부인,14120080
59,Skywölkchen,13808650
60,CalziferFire,13561010
61,DragonWiz,13560090
62,Jimi777,13472800
63,Kytrider,13341874
64,Peridakles,13274790
65,Golden FOX,12984824
66,Pinsel20,12011542
67,MrSajmonn,11166524
68,JSheridan,11149454
69,EXITUS,11125762
70,RAV28,10724164
71,Schlabberbacke,10677026
72,Mac1902,10303440
73,Fürst der Nazgûl,10216488
74,2 s t y,10175624
75,Sultan Murat X,10085764
76,fffeyz,9462708
77,Dr Cal Lightman,9269150
78,Jónny666,9197478
79,ozzy5255,8901452
80,yyyyyyvhhhmll,8602990
81,Bogo und Pini,8590224
82,TheShorty,8370728
83,Peeter99,8201116
84,Campio91,8196480
85,Gordon Freimann,8021698
86,MG Mayo,7519780
87,supi pupi,7473318
88,jobcenter FFM,7450870
89,Cheesynator,7395280
90,VxClicker,7344492
91,The Nanos,7257348
92,LatastrophenUlli,7185876
93,Itstheghoul,6700884
94,The Pharo 2026,5182396
95,Mischel89,3492828
96,K u r d o,1438500
