Position,Name,Punkte
1,Jónny666,55685775
2,Giorgiotown,45918875
3,Haulsen,43155450
4,IefueT,38922675
5,Last Wolf Warrior,34271375
6,Bugab0o,33678125
7,Baba Basti,32867675
8,Kotor47,31837825
9,Li La LiNuS,30392700
10,Gordon Freimann,29545100
11,UMY Stern,25809075
12,Space peak,23576575
13,Fürst der Nazgûl,22336525
14,Queeniiiiii,21327500
15,azerty57,20976500
16,MrSajmonn,20593150
17,Skywölkchen,19715750
18,2 s t y,19681500
19,ozzy5255,18810225
20,Fran171526,18784050
21,haasenpeter rex,18274300
22,Tom12234455,18229325
23,JSheridan,17955175
24,Dejweed,17272325
25,Svela17,16811875
26,supi pupi,16797775
27,RAV28,16414825
28,cappu97,16385650
29,Last Arti,16359950
30,GaaGol,15958525
31,Smowy,15314050
32,giMp,14706000
33,PHOENIX FOX,14533500
34,CalziferFire,13965000
35,Cheesynator,13912775
36,Tyskie 66,13749725
37,DaliborDaki,13664975
38,Cluster82,13357700
39,SNPOL,13347900
40,K E R S Y,13303450
41,Sanya Longer,12998300
42,ECSI,12843975
43,DragonWiz,12486775
44,SmartesGirl,12339000
45,Bogo und Pini,12213350
46,Katerina77,11343800
47,Lilien1999,11254375
48,Jacob Carter,11049525
49,Sphere8472,10754675
50,Pinsel20,10630050
51,Z4ID,10526475
52,Dr Cal Lightman,10344875
53,Itstheghoul,10339625
54,Peridakles,10065550
55,Sultan Murat X,10054975
56,Toby Urbex,9531550
57,Kytrider,9530775
58,jukata,9505150
59,dome94G,9503625
60,MiepStreet,9475275
61,Christo30,9161700
62,feimel,9095825
63,Campio91,8953675
64,yyyyyyvhhmmll,8822375
65,Jimi777,8720650
66,MetauChopf,8563350
67,Dragon blou,8558375
68,Golden FOX,8532225
69,Pawelte,8357725
70,jobcenter FFM,8356250
71,SamoZlo,8300400
72,sunny75,8210650
73,Peeter99,8104625
74,케포 부인,8027150
75,TheShorty,7986825
76,fffeyz,7923475
77,Leijonamieli,7904675
78,LatastrophenUlli,7795875
79,Aenwe,7757525
80,Mac1902,7756725
81,Fürstin,7421175
82,Bestia77,7386825
83,EXITUS,7235625
84,The Nanos,7235375
85,Marshalfery,7224501
86,waynowazza,6693925
87,Himbeertony,6161775
88,Feivel D MauS,6150925
89,MellidieGroße,5159500
90,Schlabberbacke,5051700
91,VxClicker,4521900
92,The Pharo 2026,4270330
93,Kpiftw,4078425
94,MG Mayo,3988325
95,Mischel89,3014000
96,K u r d o,690000
