position,name,points
1,"[AZO]supi pupi",3510833
2,"[AZO]Fran171526",2674761
3,"[AZO]Haulsen",2620546
4,"[AZO]Aenwe",2323820
5,"[AZO]Giorgiotown",2183840
6,"[AZO]cluster82",2000551
7,"[AZO]haasenpeter rex",1659816
8,"[AZO]Dejweed",1340595
9,"[AZO]Kytrider",1281474
10,"[AZO]z4ID",1186854
11,"[AZO]Svela17",883737
12,"[AZO]Pawelte",824104
13,"[AZO]Bogo und Pini",733124
14,"[AZO]UMY Stern",632742
15,"[AZO]Dragon blou",538380
16,"[AZO]SNPOL",514172
17,"[AZO]Campio91",449137
18,"[AZO]Jimi777",380282
19,"[AZO]jukata",270544
