position,name,points
1,Mischel89,16480160
2,Smowy,16404775
3,RAV28,16226925
4,2 s t y,14976800
5,Z4ID,14024000
6,Baba Basti,13979550
7,Dragon blou,13813450
8,supi pupi,13521500
9,MrSajmonn,13495275
10,Haulsen,13364625
11,Dr Cal Lightman,13333500
12,Last Wolf Warrior,12127725
13,Kytrider,12030600
14,UMY Stern,11871700
15,cluster82,11487800
16,ToxicV9,11224075
17,lefueT,10459575
18,SmartesGirl,10301850
19,Giorgiotown,10249600
20,dome94G,10202450
21,sunny75,10129825
22,Lilien1999,10012475
23,fffeyz,9751350
24,Bugab0o,9748650
25,SNPOL,9549175
26,haasenpeter rex,9531450
27,cappu97,9473425
28,Feivel D MauS,9386525
29,Sphere8472,9201225
30,Li La LiNuS,9048675
31,Fürst der Nazgûl,8844825
32,Dejweed,8764975
33,Mac1902,8749325
34,Fran171526,8679075
35,Fürstin,8622475
36,MG Mayo,8615100
37,JSheridan,8539375
38,PHOENIX FOX,8467850
39,Space peak,8359800
40,jukata,8335575
41,Kotor47,8283750
42,Queeniiiii,8203750
43,K E R S Y,8200225
44,Toby Urbex,8187700
45,SamoZlo,8115225
46,Aenwe,8080525
47,feimel,7950375
48,Chrisiiii,7943950
49,Skywölkchen,7941300
50,Cheesynator,7933000
51,ozzy5255,7908500
52,Kpiftw,7854275
53,jobcenter FFM,7835200
54,Pawelte,7822300
55,Campio91,7718500
56,Jimi777,7698625
57,ECSI,7667625
58,Jacob Carter,7587600
59,DaliborDaki,7506100
60,Golden FOX,7462700
61,DragonWiz,7455000
62,Tom12234455,7441175
63,LatastrophenUlli,7424050
64,Katerina77,7420500
65,giMp,7418750
66,azerty57,7354925
67,Bogo und Pini,7341650
68,Peridakles,7335400
69,Marshalfery,7322462
70,GaaGol,7317375
71,Last Arti,7290225
72,Tyskie 66,7249850
73,EXITUS,7248875
74,Pinsel20,7235975
75,Schlabberbacke,7229125
76,CalziferFire,7218875
77,Leijonamieli,7208700
78,Svela17,7206700
79,Sultan Murat X,7100175
80,Jónny666,6648875
81,Itstheghoul,5726250
82,MiepStreet,5482775
83,waynowazza,5164350
84,계프 부인,5162025
85,Himbeertony,4865675
86,Bestia77,4586350
87,The Nanos,4262200
88,Peeter99,3899625
89,VxClicker,3823400
90,Sanya Longer,3497400
91,yyyyyyvhhnmll,2010600
92,The Pharo 2026,1702000
93,K u r d o,1426000
