position,name,points
1,RAV28,30646275
2,JSheridan,28011475
3,Li La LiNuS,26960675
4,Smowy,26573300
5,Fürst der Nazgûl,24943750
6,Last Wolf Warrior,24278625
7,Baba Basti,23810025
8,2 s t y,23494125
9,Haulsen,23363361
10,dome94G,22609500
11,haasenpeter rex,19707600
12,Queeniiiii,15836500
13,supi pupi,14329500
14,SmartesGirl,14280125
15,cappu97,14085075
16,Jónny666,13930850
17,FugitiveRazor1,13331975
18,Jimi777,13009700
19,SNPOL,12393425
20,ståce,11372507
21,Last Arti,10870475
22,Cheesynator,10229925
23,UMY Stern,10174400
24,IefueT,10134300
25,Tom12234455,10028272
26,Bogo und Pini,9903925
27,Aenwe,9670175
28,ECSI,9492350
29,Kotor47,9434400
30,Golden FOX,9377150
31,Feivel D MauS,9373625
32,feimel,8999000
33,Cluster82,8978250
34,Dejweed,8977150
35,DaliborDaki,8735100
36,Fran171526,8605450
37,MrSajmonn,8586475
38,Fürstin,8452875
39,Mac1902,8420250
40,DragonWiz,8298625
41,Sphere8472,8217800
42,Bestia77,8069604
43,Skywölkchen,8045575
44,Giorgiotown,7995250
45,CalziferFire,7916100
46,SamoZlo,7890525
47,sunny75,7862675
48,Dragon blou,7844425
49,Svela17,7841275
50,jobcenter FFM,7770504
51,Peeter99,7750025
52,Katerina77,7696950
53,Toby Urbex,7660875
54,K E R S Y,7630700
55,Tyskie 66,7613825
56,azerty57,7547375
57,Jacob Carter,7490300
58,Campio91,7425700
59,Kytrider,7378825
60,Marshalfery,7378346
61,Kpiftw,7371425
62,gi^Mp,7370050
63,fffeyz,7353325
64,PHOENIX FOX,7325669
65,GaaGol,7312502
66,LatastrophenUlli,7273725
67,jukata,7257000
68,케포 부인,6132890
69,Pawelte,5072725
70,ozzy5255,5031178
71,Space peak,4938225
72,MG Mayo,4648873
73,Bugab0o,4459850
74,Pinsel20,4222175
75,The Nanos,4084225
76,Chrisiiii,4060125
77,EXITUS,4019375
78,Z4ID,3826910
79,Leijonamieli,3710600
80,Peridakles,3668400
81,Sanya Longer,3632375
82,Sultan Murat X,3466875
83,waynowazza,3187527
84,Lilien1999,3124550
85,Himbeertony,2961325
86,VxClicker,2760650
87,The Pharo 2026,2529899
88,yyyyyyvhhnmll,2025898
89,Schlabberbacke,1993875
90,Itstheghoul,1875000
91,ToxicV9,1559425
92,MiepStreet,1544500
93,Mischel89,1078018
94,K u r d o,1039922
95,MetauChopf,580825
