position,name,points
1,supi pupi,13765818
2,lefueT,12811362
3,RAV28,12683826
4,Giorgiotown,11688817
5,haasenpeter rex,10610497
6,UMY Stern,10400516
7,Kotor47,10277084
8,Kytrider,8828183
9,Cluster82,8616265
10,Fran171526,8581990
11,Li La LiNuS,8548249
12,Bugab0o,8420717
13,LatastrophenUlli,8412015
14,2 s t y,8084208
15,Baba Basti,7978026
16,Jónny666,7761184
17,JSheridan,7711605
18,Dejweed,7624538
19,Smowy,7614808
20,케포 부인,7605012
21,Tyskie 66,7467375
22,PHOENIX FOX,7454035
23,Dragon blou,7426929
24,Svela17,7255604
25,DaliborDaki,7235637
26,SamoZlo,7215993
27,Aenwe,7211497
28,SNPOL,6834318
29,Feivel D MauS,6444217
30,Jacob Carter,5869882
31,FugitiveRazor1,5541224
32,K E R S Y,5224561
33,Fürstin,5118396
34,Campio91,4579673
35,ToxicV9,4487410
36,Golden FOX,4455441
37,Sultan Murat X,4377895
38,feimel,4113250
39,jukata,3866454
40,Last Arti,3834500
41,Fürst der Nazgûl,3829487
42,MrSajmonn,3803216
43,cappu97,3753755
44,Z4ID,3751228
45,Queeniiiiii,3744024
46,Peridakles,3691072
47,CalziferFire,3621500
48,Kpiftw,3614928
49,The Nanos,3600290
50,sunny75,3434750
51,Toby Urbex,3348000
52,Mac1902,3295415
53,Marshalfery,3196500
54,MetauChopf,3160077
55,dome94G,3125736
56,Bogo und Pini,3046653
57,fffeyz,2928829
58,Pinsel20,2913801
59,azerty57,2802875
60,Haulsen,2766495
61,Tom12234455,2710023
62,K u r d o,2666009
63,Chrisiiii,2645375
64,Last Wolf Warrior,2567856
65,Lilien1999,2565875
66,DragonWiz,2537446
67,Katerina77,2533195
68,Bestia77,2517691
69,ECSI,2436864
70,ozzy5255,2405000
71,GaaGol,2387891
72,Himbeertony,2350000
73,SmartesGirl,2350000
74,Sphere8472,2349375
75,The Pharo 2026,2323610
76,EXITUS,2308750
77,MG Mayo,2200000
78,Itstheghoul,2200000
79,Jimi777,2090235
80,waynowazza,2079146
81,Dr Cal Lightman,2077717
82,Sanya Longer,2072836
83,Space peak,2070250
84,yyyyyyvhhnmll,2068480
85,giMp,1902054
86,Pawelte,1743750
87,ståce,1742750
88,MiepStreet,1500000
89,Mischel89,1443836
90,jobcenter FFM,1350000
91,Leijonamieli,1200000
92,Skywölkchen,1157125
93,TheShorty,1045344
94,MellidieGroße,875238
95,Gordon Freimann,806584
96,VxClicker,245090
