position,name,Punkte
1,"[AZO]Fran171526",2212914
2,"[AZO]pizm8 ツ",1975018
3,"[AZO]Kotor47",1974614
4,"[AZO]supi pupi",1686508
5,"[AZO]JSheridan",1442843
6,"[AZO]Bugab0o",1382325
7,"[AZO]Haulsen",1361770
8,"[AZO]Dejweed",1313861
9,"[AZO]Aenwe",1263028
10,"[AZO]Last Wolf Warrior",1083057
11,"[AZO]Svela17",1010112
12,"[AZO]Kytrider",932124
13,"[AZO]haasenpeter rex",898641
14,"[AZO]Giorgiotown",620414
15,"[AZO]jukata",424171
16,"[AZO]Bogo und Pini",358173
17,"[AZO]SNPOL",311645
18,"[AZO]GaaGol",175205
19,"[AZO]Jimi777",156335
20,"[AZO]Campio91",20150
