position,name,punkte
1,The Pharo 2026,23158984
2,Mischel89,12002544
3,Jacob Carter,10782290
4,Golden FOX,10705254
5,haasenpeter rex,10627876
6,ozzy5255,10240582
7,Cluster82,9638779
8,계포 부인,9594814
9,UMY Stern,9493574
10,PHOENIX FOX,9464448
11,fffeyz,9447180
12,Aenwe,9064040
13,Fran171526,9046224
14,Cheesynator,9018238
15,Svela17,8973882
16,Dragon blou,8864778
17,Bugab0o,8764324
18,EXITUS,8716950
19,Skywölkchen,8692100
20,DragonWiz,8692016
21,Bogo und Pini,8601596
22,yyyyyyvhhnmll,8575902
23,Last Wolf Warrior,8444710
24,Baba Basti,8421146
25,Haulsen,8378046
26,Li La LiNuS,8359516
27,The Nanos,8333770
28,K E R S Y,8302159
29,Fürstin,8299376
30,supi pupi,8122726
31,lefueT,8115302
32,Jimi777,8006730
33,Kotor47,7981796
34,VxClicker,7962512
35,Sphere8472,7934774
36,Kytrider,7897596
37,Feivel D MauS,7874840
38,Mac1902,7840820
39,Giorgiotown,7807332
40,Queeniiiiii,7750982
41,Toby Urbex,7729114
42,Peeter99,7723637
43,DaliborDaki,7715640
44,GaaGol,7696870
45,jukata,7673530
46,Smowy,7662667
47,MetauChopf,7611734
48,Campio91,7579669
49,Dejweed,7573490
50,waynowazza,7548024
51,Azuuzz,7496934
52,ECSI,7474790
53,Pinsel20,7406758
54,JSheridan,7392412
55,Jónny666,7380300
56,Himbeertony,7368978
57,Katerina77,7365526
58,jobcenter FFM,7357662
59,Leijonamieli,7354686
60,CalziferFire,7300168
61,cappu97,7290386
62,Kpiftw,7246034
63,LatastrophenUlli,7232096
64,SNPOL,7201634
65,sunny75,6987690
66,Lilien1999,6026616
67,azerty57,5845446
68,Last Arti,5817974
69,dome94G,5417254
70,Itstheghoul,5379290
71,Z4ID,4991740
72,feimel,4948716
73,Sultan Murat X,4908240
74,SmartesGirl,4863552
75,Tyskie 66,4341766
76,Fürst der Nazgúl,3846812
77,Bestia77,3388300
78,Space peak,3239078
79,Tom12234455,2845650
80,Chrisiiii,2672806
81,K u r d o,2260944
82,Peridakles,2186500
83,Sanya Longer,1873094
84,MiepStreet,1852524
85,ToxicV9,576000
86,Dr Cal Lightman,15000
