position,name,points
1,Skywölkchen,11257125
2,KERSY,10315486
3,Fürst der Nazgûl,10284338
4,Tom12234455,9564125
5,feimel,9458875
6,ToxicV9,9189500
7,Sultan Murat X,8697375
8,Bugab0o,8643625
9,lefueT,8527875
10,Kytrider,8505625
11,The Pharo 2026,8425050
12,sunny75,8253000
13,Dejweed,8163375
14,Cheesynator,8006500
15,Last Wolf Warrior,7979750
16,PHOENIX FOX,7963700
17,JSheridan,7915375
18,Jacob Carter,7834500
19,Fran171526,7800375
20,The Nanos,7788625
21,Svela17,7748250
22,ECSI,7719625
23,Li La LiNuS,7707875
24,Smowy,7703750
25,SmartesGirl,7689875
26,Queeniiiiii,7688814
27,cappu97,7686819
28,LatastrophenUlli,7679875
29,ozzy5255,7671285
30,DragonWiz,7610000
31,Haulsen,7599500
32,Bogo und Pini,7591750
33,Lilien1999,7587000
34,Katerina77,7570125
35,Campio91,7539074
36,Sphere8472,7522250
37,Last Arti,7520250
38,Kotor47,7484000
39,Fürstin,7462350
40,Cluster82,7460932
41,azerty57,7423000
42,Aenwe,7406250
43,MiepStreet,7384750
44,Leijonamieli,7369842
45,GaaGol,7368500
46,Toby Urbex,7361430
47,Feivel D MauS,7358250
48,jukata,7350375
49,CalziferFire,7338125
50,Mac1902,7321375
51,Mischel89,7320430
52,Jimi777,7303750
53,DaliborDaki,7285002
54,Golden FOX,7252500
55,haasenpeter rex,7233000
56,jobcenter FFM,7223750
57,Baba Basti,7223625
58,pizm8 ツ,7218680
59,supi pupi,7216750
60,dome94G,7215875
61,Giorgiotown,7210162
62,SNPOL,7208250
63,Pinsel20,7202515
64,Kpiftw,7202500
65,Itstheghoul,7030125
66,계프 부인,6072350
67,Z4ID,5659125
68,Space peak,5651500
69,Himbeertony,5307625
70,Dragon blou,5126700
71,waynowazza,5012490
72,UMY Stern,4938875
73,Peeter99,4518555
74,Bestia77,4259400
75,yyyyyyvhhnmll,3916550
76,Azuuzz,3557450
77,fffeyz,3118750
78,Tyskie 66,2970500
79,Sanya Longer,2955125
80,Jónny666,2615000
81,EXITUS,2363000
82,Peridakles,2093000
83,Dr Cal Lightman,2003000
84,K u r d o,1787250
85,Chrisiiii,1490000
86,VxClicker,1486370
