position,name,punkte
1,pizm8 ツ,30944769
2,Giorgiotown,21483892
3,UMY Stern,15754250
4,fffeyz,15561832
5,Fürst der Nazgûl,15463721
6,DaliborDaki,14532220
7,jukata,14051345
8,Katerina77,13684480
9,Kotor47,13509002
10,SNPOL,13008450
11,azerty57,12468147
12,Cluster82,12125970
13,Campio91,11873813
14,cappu97,11870086
15,MetauChopf,11654727
16,JSheridan,11316519
17,Bugab0o,11036725
18,Mischel89,10894683
19,lefueT,10852955
20,EXITUS,10747287
21,SmartesGirl,10726027
22,CalziferFire,10714024
23,Tom12234455,10659173
24,Bogo und Pini,10375175
25,Haulsen,10331518
26,Space peak,10215525
27,Kytrider,10050552
28,Fran171526,9991173
29,supi pupi,9982671
30,Fürstin,9903771
31,sunny75,9832825
32,Smowy,9828718
33,ozzy5255,9760505
34,Queeniiiiii,9676272
35,ECSI,9647250
36,Last Wolf Warrior,9577000
37,Jimi777,9205220
38,Baba Basti,9011650
39,Golden FOX,8971784
40,Svela17,8855500
41,Dragon blou,8824369
42,waynowazza,8706441
43,ToxicV9,8364219
44,Li La LiNuS,8335550
45,Sultan Murat X,8291700
46,Cheesynator,8269743
47,Aenwe,8247407
48,Feivel D MauS,8241340
49,Jacob Carter,8189475
50,Sphere8472,8065550
51,dome94G,8059100
52,Last Arti,8053396
53,K E R S Y,8050067
54,Leijonamieli,7946586
55,haasenpeter rex,7869175
56,Dejweed,7805475
57,LatastrophenUlli,7785039
58,Dr Cal Lightman,7738975
59,Pinsel20,7671178
60,Kpiftw,7593175
61,Lilien1999,7513275
62,The Nanos,7504888
63,GaaGol,7498691
64,feimel,7421382
65,PHOENIX FOX,7345037
66,케포 부인,7284950
67,Toby Urbex,7273200
68,Mac1902,7271250
69,Skywölkchen,7205300
70,jobcenter FFM,6528125
71,Itstheghoul,6369825
72,Azuuzz,6262593
73,Z4ID,6171725
74,Peeter99,5525040
75,DragonWiz,5411675
76,Chrisiiii,4691750
77,The Pharo 2026,4558920
78,MiepStreet,4520700
79,Tyskie 66,4185250
80,Himbeertony,3656725
81,yyyyyyvhhnmll,3509925
82,Peridakles,3348950
83,Jónny666,2746400
84,VxClicker,2549130
85,Sanya Longer,2265000
86,Bestia77,2073737
87,K u r d o,1656000
