position,name,punkte
1,KERSY,23224045
2,Jacob Carter,22547126
3,pizm8 ツ,21668695
4,cappu97,20843481
5,Smowy,20607888
6,DragonWiz,20501746
7,Feivel D MauS,20030537
8,fffeyz,18961446
9,azerty57,17466379
10,Fürst der Nazgúl,16624147
11,ECSI,16357446
12,Cluster82,16079164
13,The Pharo 2026,15260748
14,ozzy5255,14576754
15,Fürstin,14392360
16,케프 부인,14173644
17,jukata,13919064
18,Sanya Longer,13752768
19,Z4ID,13419230
20,DaliborDaki,13189733
21,waynowazza,12674408
22,Itstheghoul,12111118
23,Sultan Murat X,12061910
24,EXITUS,12025904
25,Campio91,11751541
26,Jimi777,11444292
27,Bugab0o,11395670
28,yyyyyyvhhnmll,11355188
29,PHOENIX FOX,11141100
30,Last Arti,11087876
31,Mischel89,10930295
32,Bestia77,10290890
33,LatastrophenUlli,9871324
34,Aenwe,9813189
35,UMY Stern,9766372
36,Kytrider,9624145
37,Queeniiiiii,9590441
38,ToxicV9,9581683
39,SNPOL,9491898
40,Tom12234455,9378000
41,JSheridan,9307842
42,Katerina77,9155980
43,Last Wolf Warrior,9120806
44,supi pupi,9085880
45,Golden FOX,9072450
46,Peeter99,8927891
47,Leijonamieli,8869238
48,SmartesGirl,8857814
49,feimel,8731200
50,Toby Urbex,8679268
51,Dragon blou,8562912
52,Mac1902,8278448
53,Peridakles,8195106
54,lefueT,8169444
55,jobcenter FFM,7978995
56,Fran171526,7876670
57,Cheesynator,7861295
58,CalziferFire,7819315
59,Haulsen,7808895
60,Sphere8472,7733622
61,Skywölkchen,7672614
62,Giorgiotown,7635000
63,Jónny666,7618606
64,Li La LiNuS,7616676
65,Baba Basti,7616150
66,haasenpeter rex,7558026
67,MiepStreet,7555685
68,Lilien1999,7518356
69,Bogo und Pini,7496910
70,Space peak,7439718
71,Svela17,7367500
72,Kotor47,7304722
73,VxClicker,7284576
74,sunny75,7274062
75,Pinsel20,7263883
76,GaaGol,7237131
77,Kpiftw,7237094
78,The Nanos,7234225
79,Dejweed,7206250
80,Dr Cal Lightman,7202500
81,K u r d o,3748890
82,Himbeertony,3683750
83,Tyskie 66,3660068
84,dome94G,3336250
85,Chrisiiii,1556778
