Position,Name,Rang,Punkte
1,azerty57,R3,84000
2,haasenpeter rex,R4,77500
3,Bugab0o,R3,73700
4,cappu97,R4,68850
5,Bogo und Pini,R3,66250
6,K E R S Y,R3,65300
7,ECSI,R3,64500
8,Queeniiiiii,R5,62700
9,JSheridan,R4,61100
10,PHOENIX FOX,R4,60350
11,jukata,R3,60250
12,SmartesGirl,R3,59900
13,Sphere8472,R2,57950
14,Golden FOX,R3,57450
15,Cluster82,R3,57000
16,Kytrider,R4,55950
17,SNPOL,R3,55800
18,Space peak,R1,55800
19,supi pupi,R4,55750
20,Kotor47,R3,54750
21,Toby Urbex,R2,53400
22,lefueT,R3,53350
23,Giorgiotown,R3,53250
24,DragonWiz,R3,52200
25,Last Wolf Warrior,R3,52100
26,waynowazza,R3,52000
27,Smowy,R4,51750
28,Svela17,R3,51500
29,Kpiftw,R2,49700
30,Dragon blou,R3,49400
31,Aenwe,R3,49100
32,Fürstin,R3,48600
33,Haulsen,R3,48400
34,Li La LiNuS,R3,48000
35,DaliborDaki,R3,47900
36,Dejweed,R3,47500
37,LaFleur32,R1,46050
38,Sultan Murat X,R3,45850
39,sunny75,R3,45450
40,ozzy5255,R3,45200
41,Fran171526,R4,44500
42,Baba Basti,R3,44400
43,계포 부인,R3,44200
44,GaaGol,R2,44100
45,fffeyz,R3,44100
46,Pinsel20,R1,43800
47,LatastrophenUlli,R3,43550
48,CalziferFire,R3,43550
49,UMY Stern,R3,43550
50,pizm8 ツ,R4,43350
51,Campio91,R3,42850
52,Chrisiiii,R3,42500
53,Fürst der Nazgúl,R4,42400
54,EXITUS,R2,41900
55,yyyyyyvhhnmll,R1,41650
56,Tom12234455,R2,40650
57,giMp,R1,40050
58,Peeter99,R1,39900
59,Mac1902,R2,39900
60,Seniorcoca,R1,39200
61,Jacob Carter,R3,37500
62,Feivel D Maus,R3,37000
63,The Pharo 2026,R3,36500
64,MiepStreet,R1,35400
65,MetauChopf,R3,35000
66,Sanya Longer,R1,33450
67,Leijonamieli,R2,33200
68,Tyskie 66,R1,32550
69,feimel,R2,32500
70,Lilien1999,R2,31250
71,Katerina77,R3,30700
72,ToxicV9,R2,30100
73,dome94G,R3,29800
74,jobcenter FFM,R1,28800
75,Peridakles,R1,26000
76,Itstheghoul,R2,25150
77,Z4ID,R2,22700
78,Dr Cal Lightman,R1,21500
79,تاجM,R1,20700
80,VxClicker,R1,19400
81,Cheesynator,R2,18850
82,Skywölkchen,R3,14400
83,Mischel89,R3,14200
84,K u r d o,R1,13850
85,Last Arti,R3,8450
86,The Nanos,R2,8400
87,Jónny666,R2,7700
88,Himbeertony,R1,6100
89,Gordon Freimann,R3,0
90,TheShorty,R1,0
91,MellidieGroße,R1,0
