Position,Name,Punkte,Feedback
1,Fran171526,45719207,
2,Bugab0o,44872375,
3,supi pupi,42978090,
4,Li La LiNuS,37228705,
5,Baba Basti,34536207,
6,Dejweed,32517255,
7,Tyskie 66,32053589,
8,IefueT,29667099,
9,Kytrider,29445276,
10,Haulsen,29322478,
11,pizm8 ツ,26337505,
12,UMY Stern,26274850,
13,Queeniiiiii,25152630,
14,Chrisiiii,25033599,
15,ToxicV9,24827170,
16,Sphere8472,22546606,
17,haasenpeter rex,22292400,
18,dome94G,22217716,
19,Bogo und Pini,21690774,
20,yyyyyyvhhhmll,20305856,
21,ECSI,20216469,
22,giMp,20079317,
23,cappu97,19708150,
24,Svela17,19639714,
25,MetauChopf,19588320,
26,SNPOL,19530496,
27,Kotor47,18201150,
28,JSheridan,17974400,
29,EXITUS,17599982,
30,Aenwe,17228735,
31,Giorgiotown,15791450,
32,LaFleur32,14621250,
33,Lilien1999,14432000,
34,Z4ID,13957305,
35,Cluster82,13791600,
36,Tom12234455,13238107,
37,SmartesGirl,13029967,
38,Jacob Carter,12816549,
39,Golden FOX,12734446,
40,GaaGol,12521701,
41,Dragon blou,12330671,
42,jukata,12328277,
43,feimel,12147525,
44,Peridakles,12031147,
45,PHOENIX FOX,12026206,
46,Sanya Longer,12024475,
47,jobcenter FFM,11691918,
48,Fürst der Nazgûl,11662897,
49,Leijonamieli,11594817,
50,Toby Urbex,11533575,
51,CalziferFire,11509810,
52,Pinsel20,11301890,
53,Katerina77,10995476,
54,ozzy5255,10873937,
55,azerty57,10824601,
56,Space peak,10653479,
57,Fürstin,10569532,
58,sunny75,10516980,
59,Peeter99,9847824,
60,DaliborDaki,9757120,
61,Smowy,9689580,
62,K E R S Y,9651050,
63,Cheesynator,9319966,
64,DragonWiz,9183394,
65,Dr Cal Lightman,9114500,
66,fffeyz,9090259,
67,waynowazza,8590928,
68,Last Wolf Warrior,8394479,
69,Mac1902,8341871,
70,Sultan Murat X,8172750,
71,LatastrophenUlli,8120186
72,The Pharo 2026,7889620
73,Kpiftw,7555855
74,Skywölkchen,7361200
75,Campio91,7268480
76,VxClicker,7225542
77,Itstheghoul,7105888
78,계포 부인,6811861
79,MiepStreet,6650943
80,Seniorcoca,6234601
81,Bestia77,6200050
82,Feivel D MauS,5574415
83,Mischel89,3649315
84,K u r d o,207000
