Position,Name,Rank,Points
1,azerty57,R3,102000
2,Bugab0o,R3,79900
3,cappu97,R4,74500
4,Anakín,R3,71000
5,Svela17,R3,68500
6,waynowazza,R2,67600
7,Queeniiiiii,R5,66600
8,ECSI,R3,65150
9,JSheridan,R4,63750
10,Last Wolf Warrior,R3,63350
11,jukata,R3,63150
12,Bogo und Pini,R3,63050
13,Space peak,R3,62250
14,Golden FOX,R3,61800
15,PHOENIX FOX,R4,61050
16,K E R S Y,R3,60050
17,Toby Urbex,R3,58050
18,DragonWiz,R3,57950
19,Cluster82,R3,57050
20,lefueT,R3,56550
21,Kytrider,R4,56050
22,Kotor47,R3,55900
23,Smowy,R4,55800
24,supi pupi,R4,53150
25,Sphere8472,R3,52850
26,SNPOL,R3,52700
27,Fürstin,R3,51550
28,Giorgiotown,R3,51150
29,Sanya Longer,R3,49950
30,Archy Monkey,R3,48900
31,Kpiftw,R2,48550
32,Dejweed,R3,47600
33,تاجM,R2,47350
34,LaFleur32,R3,47150
35,Dragon blou,R3,47050
36,CalziferFire,R3,46650
37,Tom12234455,R3,46650
38,Pinsel20,R3,46550
39,sunny75,R3,46400
40,Chrisiiii,R3,46300
41,Seniorcoca,R2,46200
42,DaliborDaki,R3,46100
43,Fran171526,R4,45900
44,SmartesGirl,R3,45300
45,UMY Stern,R3,45250
46,케포 부인,R2,45000
47,Baba Basti,R3,44850
48,Haulsen,R3,44450
49,EXITUS,R3,43800
50,giMp,R3,43500
51,The Pharo 2026,R2,43450
52,Campio91,R2,43400
53,pizm8 ツ,R4,42400
54,fffeyz,R2,42200
55,Fürst der Nazgúl,R4,42050
56,ozzy5255,R3,41800
57,Sultan Murat X,R3,41650
58,Li La LiNuS,R3,40400
59,haasenpeter rex,R4,40000
60,GaaGol,R3,37800
61,LatastrophenUlli,R3,36850
62,Mac1902,R2,36350
63,Tyskie 66,R3,36150
64,Aenwe,R3,36050
65,Leijonamieli,R3,35900
66,Peeter99,R3,34300
67,jobcenter FFM,R2,32450
68,MiepStreet,R2,31550
69,MetauChopf,R3,31050
70,yyyyyyvhnmll,R3,30800
71,feimel,R3,30450
72,Katerina77,R3,30100
73,Itstheghoul,R3,29850
74,dome94G,R3,28000
75,K u r d o,R1,26200
76,Cheesynator,R2,24650
77,Lilien1999,R3,21950
78,Mischel89,R1,21500
79,Feivel D MauS,R3,20700
80,Z4ID,R3,14700
81,Dr Cal Lightman,R1,13050
82,VxClicker,R1,10650
83,Jónny666,R2,8500
84,Himbeertony,R2,5800
85,Cichax0,R2,3700
86,LunaLiya,R2,3000
87,PHILAES,R2,2700
88,111Dave111,R2,2600
89,Babakuji,R2,2600
90,Adhd9,R3,2200
91,Moooolah,R2,1950
92,Adám,R3,1850
93,JSnoopy,R2,1450
94,Fluffy,R2,400
95,Mudin364,R2,50
96,CL16CS55,R2,50
97,FugitiveRazor1,R2,0
98,Skywölkchen,R2,0
