Position,Name,Points
1,JSheridan,72646547
2,Last Wolf Warrior,67009428
3,azerty57,52978164
4,Svela17,49092816
5,supi pupi,48792463
6,Fran171526,46405410
7,Bugab0o,43178447
8,haasenpeter rex,42117776
9,giMp,41486917
10,Bogo und Pini,40529318
11,Aenwe,40459727
12,Chrisiiii,38896284
13,케포 부인,32211316
14,Dragon blou,32185897
15,Sanya Longer,31195480
16,Li La LiNuS,31107908
17,jobcenter FFM,29679508
18,K E R S Y,28991576
19,Dejweed,27986851
20,Giorgiotown,25126987
21,Jónny666,25011550
22,Cluster82,24859647
23,Pinsel20,23900197
24,pizm8 ツ,23529874
25,Kotor47,23047851
26,Toby Urbex,22772395
27,ToxicV9,21482932
28,Leijonamieli,21356770
29,Sphere8472,20879578
30,Archy Monkey,19779793
31,PHOENIX FOX,19079530
32,cappu97,19038851
33,GaaGol,18730568
34,ozzy5255,18386214
35,Kytrider,18350267
36,lefueT,14985679
37,SNPOL,14912721
38,EXITUS,14492592
39,Haulsen,13782764
40,Sultan Murat X,12484678
41,Baba Basti,12367833
42,Golden FOX,11639601
43,UMY Stern,11637694
44,DaliborDaki,11409855
45,DragonWiz,11361545
46,sunny75,11074907
47,Queeniiiiii,10973246
48,Tyskie 66,10876237
49,Katerina77,10673288
50,LatastrophenUlli,10512219
51,fffeyz,9909199
52,Mischel89,9625955
53,feimel,9431535
54,ECSI,9355180
55,SmartesGirl,9197555
56,Anakín,9098868
57,waynowazza,9001183
58,MetauChopf,8844326
59,Seniorcoca,8661388
60,Campio91,8653531
61,MiepStreet,8538966
62,Smowy,8527105
63,LaFleur32,8502684
64,Lilien1999,8367670
65,Fürstin,8331774
66,dome94G,8247151
67,jukata,8131309
68,Tom12234455,8035293
69,Mac1902,8027364
70,Peeter99,8023640
71,aلتاM,7888093
72,Fürst der Nazgûl,7865552
73,Space peak,7864252
74,VxClicker,7633844
75,Dr Cal Lightman,7543900
76,Kpiftw,7506718
77,CalziferFire,7413753
78,K u r d o,7321254
79,Z4ID,7237408
80,The Pharo 2026,6532906
81,Itstheghoul,5815288
82,yyyyyyvhhnmll,4435937
83,Cheesynator,3029138
84,Feivel D MauS,1752941
