Position,Name,Points
1,Pinsel20,48255000
2,Bugab0o,33358500
3,gjMp,30755100
4,Space peak,27677335
5,dome94G,26722949
6,Sphere8472,25971270
7,Bogo und Pini,25423200
8,ECSI,23605122
9,Svela17,22431610
10,Dragon blou,21839553
11,DragonWiz,21509030
12,supi pupi,19854600
13,Kotor47,19733250
14,SmartesGirl,19037035
15,GaaGol,18969300
16,Fürst der Nazgûl,18835200
17,JSheridan,18371850
18,Fran171526,18165000
19,Tom12234455,17996028
20,ozzy5255,17331800
21,Leijonamieli,17116575
22,Last Wolf Warrior,17037699
23,Chrisiiii,16995449
24,feimel,16906045
25,waynowazza,16445256
26,pizm8 ツ,15951105
27,Kytrider,15336750
28,Giorgiotown,14981850
29,Haulsen,14959050
30,jukata,14292900
31,Golden FOX,14185950
32,lefueT,13904100
33,Dejweed,13811400
34,계포 부인,13757402
35,Queeniiiiii,13703550
36,LaFleur32,13672875
37,Toby Urbex,13477369
38,Cluster82,13370100
39,PHOENIX FOX,13133450
40,Baba Basti,13024650
41,MetauChopf,12415950
42,K E R S Y,12398250
43,cappu97,12288000
44,MiepStreet,12043665
45,DaliborDaki,12004830
46,Smowy,11966700
47,fffeyz,11909720
48,UMY Stern,11586375
49,Itstheghoul,11527149
50,sunny75,11377330
51,haasenpeter rex,11082229
52,Anakín,11035510
53,Aenwe,10941405
54,Feivel D MauS,10927663
55,SNPOL,10851575
56,Katerina77,10710072
57,Dr Cal Lightman,10660250
58,The Pharo 2026,10609910
59,Kpiftw,10432275
60,azerty57,9649208
61,Tyskie 66,9550500
62,Fürstin,9413593
63,ToxicV9,9382805
64,Peeter99,9355470
65,Lilien1999,9133310
66,Li La LiNuS,8963250
67,Mac1902,8869450
68,Archy Monkey,8648065
69,Sanya Longer,8277250
70,عـلـيM,8244020
71,Seniorcoca,8111458
72,LatastrophenUlli,7801965
73,Z4ID,7560340
74,CalziferFire,7506000
75,Mischel89,7442314
76,Campio91,7435710
77,jobcenter FFM,7380322
78,yyyyyyvhhnmll,7270199
79,Himbeertony,6118000
80,Sultan Murat X,5374250
81,VxClicker,4019296
82,EXITUS,3748000
83,K u r d o,1153000
