Position,Name,Points
1,pizm8 ツ,27026993
2,JSheridan,24746670
3,cappu97,23096880
4,Smowy,21806700
5,Archy Monkey,20965033
6,SNPOL,20715300
7,Li La LiNuS,20659740
8,Anakín,19993008
9,Fürst der Nazgûl,19316370
10,Kotor47,19182330
11,azerty57,18706440
12,Fran171526,18409620
13,LaFleur32,18375450
14,Baba Basti,18294030
15,supi pupi,18147330
16,haasenpeter rex,17620610
17,Bugab0o,17334600
18,Haulsen,16488639
19,DaliborDaki,16337964
20,Chrisiiii,16048770
21,giMp,15127050
22,SmartesGirl,14835810
23,Queeniiiiii,14206470
24,Golden FOX,13797570
25,Giorgiotown,13577040
26,sunny75,13212210
27,Fürstin,13076880
28,Dragon blou,12748387
29,DragonWiz,12676170
30,Katerina77,12463470
31,Cluster82,12375060
32,Tom12234455,12173635
33,Kytrider,11979450
34,Toby Urbex,11885280
35,feimel,11883630
36,UMY Stern,11731950
37,Sanya Longer,10918125
38,CalziferFire,10141830
39,IefueT,9984840
40,Cheesynator,9911632
41,Last Wolf Warrior,9694830
42,Seniorcoca,9644093
43,Lilien1999,9587616
44,jukata,9495780
45,Dejweed,9159090
46,تاجM,8694518
47,fffeyz,8653456
48,LatastrophenUlli,8651070
49,Aenwe,8621236
50,Bogo und Pini,8272860
51,Dr Cal Lightman,8152675
52,dome94G,8131080
53,PHOENIX FOX,8102980
54,Svela17,8074110
55,ECSI,7836540
56,Tyskie 66,7831770
57,The Pharo 2026,7753905
58,Sphere8472,7747860
59,Mischel89,7579165
60,Space peak,7509060
61,Kpiftw,7337812
62,K E R S Y,7314480
63,Leijonamieli,7305630
64,Campio91,7253568
65,ozzy5255,6557070
66,Itstheghoul,6472575
67,계포 부인,5748270
68,Mac1902,5394004
69,VxClicker,5383530
70,GaaGol,5244597
71,Z4ID,4311875
72,EXITUS,4159705
73,ToxicV9,3920220
74,waynowazza,3755250
75,Sultan Murat X,3752101
76,yyyyyyvhnmll,3597690
77,Pinsel20,3041400
78,K u r d o,2070277
79,MiepStreet,1681500
80,Peeter99,1650000
81,jobcenter FFM,1450000
82,Feivel D MauS,1317250
83,Himbeertony,125000
