Position,Name,Points
1,pizm8 ツ,25637244
2,lefueT,17077354
3,Smowy,16561586
4,UMY Stern,15807978
5,Kotor47,15003635
6,cluster82,14826255
7,Dragon blou,14315344
8,Last Wolf Warrior,13482132
9,SNPOL,12970266
10,Giorgiotown,12403308
11,Archy Monkey,11058325
12,Bugab0o,11035298
13,CalziferFire,10799381
14,cappu97,10662349
15,Anakín,10444072
16,Itstheghoul,9760993
17,giMp,9410278
18,PHOENIX FOX,9374204
19,JSheridan,9277551
20,supi pupi,9028154
21,Kytrider,8698444
22,Svela17,8680919
23,Queeniiiii,8488763
24,Fran171526,8448335
25,jukata,8221946
26,Campio91,7663261
27,계포 부인,7466165
28,DaliborDaki,7455790
29,Dejweed,7402001
30,Baba Basti,7339192
31,Aenwe,7205670
32,Golden FOX,7103471
33,LatastrophenUlli,6597138
34,Haulsen,5944470
35,haasenpeter rex,5921746
36,Bogo und Pini,5920111
37,عاشقM,5793275
38,Space peak,5780977
39,K E R S Y,5695658
40,ozzy5255,5454133
41,azerty57,5099235
42,Fürstin,4689680
43,DragonWiz,4650511
44,ECSI,4628060
45,Seniorcoca,4430910
46,Sphere8472,4364662
47,waynowazza,4359234
48,Li La LiNuS,4272687
49,Chrisiiii,4177350
50,sunny75,4035600
51,Katerina77,4026450
52,Z4ID,3836346
53,EXITUS,3810073
54,LaFleur32,3680452
55,K u r d o,3619949
56,fffeyz,3571839
57,yyyyyyvhhnmll,3571409
58,Kpiftw,3570725
59,SmartesGirl,3525000
60,dome94G,3525000
61,Fürst der Nazgûl,3449896
62,Toby Urbex,3438900
63,feimel,3205950
64,Mac1902,3194080
65,Peeter99,3105609
66,Lilien1999,3077500
67,Pinsel20,3075000
68,GaaGol,3007050
69,Tom12234455,3000000
70,Mischel89,2879791
71,Sanya Longer,2799806
72,Leijonamieli,2700000
73,Sultan Murat X,2668639
74,Cheesynator,2591158
75,The Pharo 2026,2542409
76,Tyskie 66,2457475
77,MiepStreet,1650000
78,VxClicker,1050000
79,Feivel D MauS,536553
80,ToxicV9,475505
81,MetauChopf,238650
82,Dr Cal Lightman,153694
83,Jónny666,136658
84,Peridakles,36214
