1;Moooolah;35965285
2;supi pupi;34602900
3;Adám;32505550
4;JSnoopy;31592488
5;Fürst der Nazgûl;29617400
6;Fran171526;27294200
7;pizm8 ツ;26188850
8;Giorgiotown;24032900
9;ECSI;23805150
10;Kotor47;23700050
11;Peeter99;23378350
12;Tom12234455;22686500
13;Adhd9;22487100
14;Archy Monkey;22229883
15;111Dave111;20936750
16;Bogo und Pini;20700550
17;SmartesGirl;20669050
18;Cichax0;20350458
19;Aenwe;19984364
20;UMY Stern;19574412
21;CL16CS55;18937945
22;Baba Basti;18855250
23;Anakín;18624838
24;haasenpeter rex;17540710
25;Smowy;17399500
26;FugitiveRazor1;17216430
27;Svela17;16998750
28;Li La LiNuS;16960650
29;Haulsen;16534650
30;cappu97;16416900
31;Bugab0o;16230150
32;Babakuji;15811740
33;Queeniiiiii;15766450
34;PHILAES;14748150
35;DaliborDaki;14564239
36;Tyskie 66;14015400
37;Dragon blou;13967505
38;Cluster82;13949250
39;Fluffy;13567200
40;Kytrider;13517150
41;Space peak;13396800
42;Toby Urbex;13275750
43;Leijonamieli;13139850
44;SNPOL;12626850
45;jukata;11997750
46;LaFleur32;11723775
47;JSheridan;11193250
48;Sphere8472;10713800
49;CalziferFire;10598800
50;azerty57;10290000
51;EXITUS;10070860
52;GaaGol;9867800
53;Fürstin;9459850
54;Lilien1999;9114352
55;K E R S Y;8937500
56;VxClicker;8809700
57;Feivel D MauS;8798520
58;Last Wolf Warrior;8796400
59;feimel;8739400
60;ozzy5255;8705800
61;Katerina77;8479700
62;jobcenter FFM;8424195
63;fffeyz;8404510
64;waynowazza;8323100
65;sunny75;8232300
66;PHOENIX FOX;8215850
67;Mischel89;8178390
68;Kpiftw;8160889
69;Pinsel20;8057250
70;Mudin364;8022450
71;Campio91;8002600
72;lefueT;7936350
73;aلـM;7884990
74;Z4ID;7781505
75;dome94G;7524550
76;LatastrophenUlli;7513350
77;Cheesynator;7478240
78;Golden FOX;7346600
79;Dejweed;7274000
80;Sultan Murat X;7247302
81;Mac1902;7201630
82;계프 부인;5632900
83;yyyyyyvhhnmll;5511700
84;DragonWiz;5208800
85;Seniorcoca;5078178
86;MiepStreet;4885700
87;Chrisiiii;4641150
88;The Pharo 2026;4246540
89;Himbeertony;4010747
90;Sanya Longer;3421375
91;giMp;3142250
92;K u r d o;3009732
93;Dr Cal Lightman;977500
