position;name;points
1;Kotor47;40.835.083
2;Anakín;23.552.779
3;Last Wolf Warrior;19.474.263
4;UMYstern;17.086.447
5;Fürst der Nazgûl;14.931.907
6;pizm8 ツ;13.552.772
7;lefueT;13.132.343
8;Giorgiotown;10.775.395
9;ComandanteFelps;10.615.184
10;Smowy;10.392.292
11;Fran171526;10.212.872
12;CalibratGTR;9.739.473
13;Archy Monkey;9.589.702
14;PIRAT 13;9.143.587
15;Cluster82;8.956.510
16;SNPOL;8.779.832
17;SNEAKY BUNNY;8.755.833
18;Baba Basti;8.618.833
19;adhd9;8.531.139
20;DragonWiz;8.181.403
21;Li La LiNuS;8.116.918
22;Queeniiiiii;8.101.332
23;JSnoopy;8.003.082
24;Bogo und Pini;7.961.936
25;Kytrider;7.877.417
26;Tcherbilmock;7.797.303
27;111Dave111;7.788.547
28;haasenpeter rex;7.728.296
29;Dejweed;7.643.110
30;Fluffy;7.619.585
31;Moooolah;7.580.193
32;Dragon blou;7.495.437
33;giMp;7.439.331
34;GaaGol;7.421.168
35;supi pupi;7.384.432
36;PHOENIX FOX;7.372.981
37;Svela17;7.276.200
38;JSheridan;7.257.008
39;Cichax0;7.252.775
40;jukata;7.248.072
41;Mudin364;7.233.600
42;CalziferFire;7.210.800
43;Aenwe;7.207.707
44;Captain ESCANOR;7.205.100
45;ozzy5255;7.002.722
46;Bugab0o;6.953.021
47;Sultan Murat X;6.651.639
48;PHILAES;6.445.199
49;LE LIGRE;6.251.194
50;LatastrophenUlli;6.218.677
51;cappu97;6.173.955
52;FugitiveRazor1;5.921.574
53;LordHemorrhoid;5.765.466
54;feimel;5.507.250
55;mr prynn;5.403.673
56;Chrisiiii;5.275.800
57;K E R S Y;5.248.329
58;Feivel D MauS;5.247.531
59;Mischel89;5.036.109
60;Campio91;4.967.669
61;mybo0;4.793.675
62;Space peak;4.741.831
63;Pinsel20;4.670.250
64;DaliborDaki;4.520.483
65;Sphere8472;4.465.350
66;Katerina77;4.420.050
67;Tom12234455;4.351.392
68;Mac1902;4.240.682
69;Golden FOX;4.163.560
70;ECSI;4.126.500
71;Haulsen;4.105.419
72;Fürstin;4.081.500
73;Tyskie 66;4.030.250
74;Lilien1999;4.022.400
75;SmartesGirl;4.017.709
76;sunny75;3.929.940
77;azerty57;3.769.256
78;Babakuji;3.765.075
79;Adăm;3.757.198
80;dome94G;3.756.450
81;Leijonamieli;3.717.600
82;Sanya Longer;3.701.564
83;Toby Urbex;3.618.369
84;waynowazza;3.602.550
85;EXITUS;3.600.450
86;ENG ḳ;3.427.050
87;Kpiftw;3.348.900
88;CL16CS55;3.220.440
89;MiepStreet;3.063.300
90;yyyyyyvhhnmll;2.931.600
91;fffeyz;2.441.160
92;Powwdér;2.350.000
93;Himbeertony;2.285.236
94;scotch2013;2.218.428
95;Peeter99;1.074.600
96;Dr Cal Lightman;162.222
97;Seniorcoca;101.250
98;jobcenter FFM;24.644
