position;name;points
1;Archy Monkey;48.562.935
2;Dejweed;31.740.176
3;Li La LiNuS;29.189.621
4;Feivel D MauS;21.142.742
5;Peeter99;18.731.563
6;Seniorcoca;18.170.615
7;Captain ESCANOR;17.658.569
8;DragonWiz;17.027.024
9;mr prynn;16.094.497
10;Bugab0o;15.820.529
11;UMY LION OF GOD CC;15.807.039
12;pizm8 ツ;13.938.313
13;Arkangel ツ;13.738.570
14;SNEAKY BUNNY;13.637.172
15;Cichax0;13.538.513
16;Anakín;12.406.581
17;mybo0;12.244.126
18;LE LIGRE;11.982.304
19;ComandanteFelps;11.875.176
20;Tcherbilmock;11.777.988
21;azerty57;11.743.148
22;Toby Urbex;11.484.330
23;SNPOL;11.424.529
24;ozzy5255;11.289.082
25;Powwdér;10.353.300
26;EXITUS;10.327.273
27;Campio91;10.284.397
28;Fürstin;10.252.077
29;Cluster82;10.236.399
30;Golden FOX;10.234.596
31;Sphere8472;10.204.167
32;Svela17;9.888.132
33;Dragon blou;9.881.818
34;PIRAT 13;9.777.381
35;adhd9;9.673.948
36;FugitiveRazor1;9.587.926
37;LordHemorrhoid;9.162.727
38;K E R S Y;9.150.509
39;Babakuji;9.149.907
40;Smowy;9.127.258
41;Giorgiotown;9.101.689
42;Haulsen;9.080.225
43;haasenpeter rex;9.046.061
44;Moooolah;9.026.438
45;Fran171526;9.019.415
46;Mudin364;8.981.258
47;Katerina77;8.958.752
48;Fluffy;8.865.633
49;cappu97;8.850.349
50;111Dave111;8.849.692
51;GaaGol;8.784.635
52;Kotor47;8.779.528
53;CalibratGTR;8.773.997
54;LatastrophenUlli;8.765.743
55;Bogo und Pini;8.719.446
56;Kytrider;8.715.109
57;Leijonamieli;8.678.098
58;Mischel89;8.635.074
59;IefueT;8.520.692
60;Fürst der Nazgûl;8.377.500
61;Enia la simpatica;8.340.203
62;DaliborDaki;8.335.365
63;CL16CS55;8.249.908
64;Pinsel20;8.142.946
65;Mac1902;8.023.003
66;supi pupi;8.003.566
67;JSheridan;7.967.470
68;scotch2013;7.937.966
69;Kpiftw;7.860.395
70;ECSI;7.845.548
71;fffeyz;7.754.761
72;PHOENIX FOX;7.749.338
73;jukata;7.671.418
74;SmartesGirl;7.609.333
75;feimel;7.595.218
76;PHILAES;7.553.715
77;Aenwe;7.436.820
78;Baba Basti;7.436.584
79;Adám;7.367.499
80;CalziferFire;7.364.171
81;MiepStreet;7.363.868
82;Queeniiiiii;7.351.488
83;Sultan Murat X;7.346.250
84;Chrisiiii;7.317.560
85;Z4ID;7.316.424
86;Lilien1999;7.252.191
87;Alina;7.073.840
88;Tyskie 66;6.767.500
89;waynowazza;6.298.061
90;Tom12234455;5.454.755
91;dome94G;5.424.281
92;MetauChopf;5.388.635
93;yyyyyyvhhnmll;4.960.919
94;Sanya Longer;4.303.390
95;Last Wolf Warrior;4.147.500
96;sunny75;4.121.206
97;hsk1338;4.115.273
98;JSnoopy;3.700.120
99;Space peak;3.559.125
100;giMp;3.355.975
