position;name;points
1;Li La LiNuS;17087250
2;azerty57;16127700
3;Feivel D MauS;15593550
4;Fürstin;13390800
5;Smowy;12737250
6;Tyskie 66;12598200
7;DaliborDaki;11282440
8;Peeter99;10905900
9;cappu97;10688850
10;111Dave111;10384450
11;DragonWiz;10302150
12;GaaGol;10283850
13;PHOENIX FOX;10281450
14;SNEAKY BUNNY;10267650
15;CalibratGTR;9972050
16;Leijonamieli;9969000
17;Baba Basti;9846600
18;Kotor47;9820500
19;LE LIGRE;9761870
20;Golden FOX;9758100
21;Katerina77;9751050
22;jukata;9572700
23;SNPOL;9571050
24;Tcherbilmock;9417125
25;Haulsen;9406350
26;ozzy5255;9390900
27;Queeniiiiii;9370350
28;Captain ESCANOR;9324600
29;Campio91;9277990
30;Sphere8472;9075000
31;feimel;9048300
32;Bugab0o;9045600
33;dome94G;9044550
34;Cluster82;9041100
35;CL16CS55;9026970
36;waynowazza;8977400
37;Powwdér;8946125
38;Tom12234455;8927250
39;Toby Urbex;8842950
40;Chrisiiii;8794050
41;Cichax0;8762250
42;fffeyz;8744885
43;Arkangel ツ;8720100
44;supi pupi;8704800
45;K E R S Y;8625150
46;FugitiveRazor1;8608200
47;haasenpeter rex;8560350
48;scotch2013;8529000
49;SmartesGirl;8506650
50;Anakín;8454920
51;Svela17;8388900
52;UMY LION OF GOD CC;8377315
53;sunny75;8370000
54;LordHemorrhoid;8283750
55;Kytrider;8268300
56;adhd9;8209950
57;Moooolah;8174300
58;IefueT;8163750
59;Fürst der Nazgûl;8119500
60;Archy Monkey;8104711
61;PHILAES;8011350
62;Fluffy;7997550
63;Lilien1999;7992750
64;Z4ID;7980900
65;Fran171526;7962000
66;ECSI;7933800
67;Giorgiotown;7840200
68;Last Wolf Warrior;7805400
69;LatastrophenUlli;7761600
70;Babakuji;7660050
71;JSheridan;7641600
72;Dejweed;7638600
73;MetauChopf;7568250
74;mybo0;7530600
75;pizm8 ツ;7513800
76;Bogo und Pini;7500900
77;Dragon blou;7495200
78;Adám;7484400
79;Kpiftw;7470900
80;Aenwe;7447650
81;ComandanteFelps;7435500
82;mr prynn;7367650
83;Pinsel20;7348650
84;Enia la simpatica;7314900
85;CalziferFire;7312350
86;Mac1902;7303650
87;MiepStreet;7299900
88;Mudin364;7235100
89;giMp;7229850
90;EXITUS;7226850
91;PIRAT 13;7219350
92;JSnoopy;7204650
93;Mischel89;6979220
94;Sultan Murat X;6586650
95;Space peak;6097500
96;Seniorcoca;5817800
97;Alina;4942500
98;Sanya Longer;3999125
99;yyyyyyyvhhnmll;3640200
100;hsk1338;3574648
