position;name;rank;points
1;azerty57;R3;131150
2;cappu97;R4;78900
3;Space peak;R2;73750
4;jukata;R3;73200
5;mr prynn;R2;65200
6;Bogo und Pini;R3;65000
7;CL16CS55;R3;64200
8;lefueT;R3;63050
9;Bugab0o;R3;62750
10;Enia la simpatica;R2;62650
11;ECSI;R3;60550
12;Kytrider;R4;58600
13;Cluster82;R3;58100
14;Anakín;R3;58050
15;Golden FOX;R3;57950
16;K E R S Y;R3;57400
17;feimel;R3;56800
18;Queeniiiiii;R5;55750
19;Smowy;R4;55400
20;111Dave111;R3;54150
21;DragonWiz;R3;53900
22;Sphere8472;R3;53650
23;SNPOL;R3;52300
24;JSnoopy;R3;50650
25;Toby Urbex;R2;50400
26;Captain ESCANOR;R3;49750
27;supi pupi;R4;49000
28;waynowazza;R3;48550
29;Haulsen;R3;48250
30;Chrisiiii;R3;48150
31;Adàm;R3;47200
32;Mudin364;R3;47200
33;Fran171526;R4;46950
34;mybo0;R3;46900
35;PIRAT 13;R2;46800
36;Kotor47;R3;46750
37;Fürstin;R3;46550
38;DaliborDaki;R3;46100
39;ozzy5255;R2;45400
40;LE LIGRE;R3;45350
41;Li La QuEeNuS;R3;45100
42;Pinsel20;R2;45000
43;Fluffy;R3;44850
44;Katerina77;R3;44800
45;Archy Monkey;R3;44800
46;pizm8 ツ;R4;44700
47;SNEAKY BUNNY;R3;44700
48;Baba Basti;R3;44500
49;PHILAES;R3;44400
50;Dejweed;R3;44400
51;Campio91;R2;44100
52;PHOENIX FOX;R4;44100
53;GaaGol;R2;44050
54;JSheridan;R4;43950
55;Last Wolf Warrior;R3;43750
56;Kpiftw;R2;43700
57;Moooolah;R3;43550
58;Dragon blou;R3;43050
59;UMY LION OF GOD CC;R3;42750
60;CalziferFire;R3;42200
61;Mac1902;R2;41900
62;Fürst der Nazgûl;R4;41700
63;Cichax0;R3;41300
64;LatastrophenUlli;R2;41050
65;Sultan Murat X;R3;40450
66;hsk1338;R2;40450
67;SmartesGirl;R3;40200
68;giMp;R3;40150
69;ComandanteFelps;R3;39500
70;EXITUS;R3;39500
position;name;rank;points
71;Tcherbilmock;R2;39450
72;adhd9;R3;39250
73;Sanya Longer;R2;39200
74;Babakuji;R2;38200
75;Giorgiotown;R3;37850
76;Svela17;R3;37800
77;haasenpeter rex;R4;37500
78;Leijjonamieli;R2;37100
79;CalibratGTR;R3;36650
80;LordHemorrhoid;R2;36450
81;Tyskie 66;R3;36200
82;MetauChopf;R3;34800
83;Feivel D MauS;R3;34500
84;Arkangel ツ;R2;33750
85;Tom12234455;R3;32800
86;FugitiveRazor1;R3;32150
87;Aenwe;R3;32100
88;Alìna;R2;30250
89;Peeter99;R2;30000
90;fffeyz;R3;27400
91;scotch2013;R2;27250
92;Powwdér;R2;25050
93;yyyyyyvhhnmll;R1;24100
94;Lilien1999;R3;23750
95;Z4ID;R2;23750
96;MiepStreet;R2;22800
97;sunny75;R3;17050
98;Mischel89;R3;14350
99;dome94G;R3;8750
