position;name;points
1;Li La QuEeNuS;45.316.550
2;SNEAKY BUNNY;28.251.150
3;adhd9;27.015.550
4;Moooolah;24.812.100
5;Tyskie 66;24.668.250
6;pizm8 ツ;24.368.000
7;ComandanteFelps;24.317.550
8;Dejweed;24.309.050
9;Adám;23.350.500
10;Tcherbilmock;23.303.250
11;111Dave111;22.395.550
12;Feivel D MauS;21.130.000
13;Powwdér;21.017.011
14;Baba Basti;20.455.600
15;Cluster82;20.183.700
16;supi pupi;19.291.550
17;lefueT;19.234.200
18;Bugab0o;18.976.350
19;Mudin364;18.679.050
20;JSnoopy;18.316.800
21;Captain ESCANOR;18.084.100
22;Space peak;17.873.200
23;LordHemorrhoid;17.768.050
24;scotch2013;16.528.750
25;haasenpeter rex;16.225.650
26;cappu97;15.791.050
27;Archy Monkey;15.594.251
28;Kotor47;15.001.150
29;azerty57;14.820.550
30;Cichax0;14.818.350
31;Haulsen;14.330.850
32;LE LIGRE;14.036.190
33;Lilien1999;13.453.200
34;Dragon blou;13.143.300
35;Babakuji;12.869.450
36;Kytrider;12.829.400
37;Fürst der Nazgûl;12.713.900
38;GaaGol;12.686.550
39;DaliborDaki;12.599.800
40;EXITUS;12.462.650
41;Tom12234455;12.424.650
42;Fluffy;12.269.750
43;Anakín;11.907.210
44;Queeniiiiii;11.862.200
45;feimel;11.750.550
46;jukata;11.503.800
47;Z4ID;11.387.800
48;ozzy5255;11.189.800
49;PHILAES;11.049.450
50;Smowy;10.964.250
51;CL16CS55;10.950.204
52;UMY LION OF GOD CC;10.935.595
53;Sphere8472;10.905.150
54;Toby Urbex;10.831.450
55;fffeyz;10.632.290
56;Katerina77;10.528.050
57;SNPOL;10.507.850
58;Svela17;10.430.850
59;CalibratGTR;10.163.030
60;LatastrophenUlli;9.747.800
61;Giorgiotown;9.491.000
62;Chrisiiiii;9.467.300
63;MetauChopf;9.456.850
64;Bogo und Pini;9.237.100
65;ECSI;9.223.650
66;hsk1338;9.211.115
67;Alina;9.080.850
68;giMp;9.064.850
69;Fürstin;9.062.850
70;JSheridan;9.031.050
71;sunny75;9.026.700
72;Campio91;8.805.795
73;Arkangel ツ;8.734.800
74;PIRAT 13;8.659.750
75;Golden FOX;8.558.600
76;mybo0;8.512.050
77;Leijonamieli;8.409.600
78;PHOENIX FOX;8.326.700
79;mr prynn;8.307.100
80;Mischel89;8.236.410
81;K E R S Y;8.230.350
82;MiepStreet;8.208.750
83;SmartesGirl;7.960.800
84;Fran171526;7.895.900
85;Kpiftw;7.856.750
86;FugitiveRazor1;7.835.750
87;Pinsel20;7.776.750
88;Aenwe;7.735.550
89;Peeter99;7.601.500
90;Sultan Murat X;7.396.200
91;Mac1902;7.349.468
92;dome94G;7.231.750
93;DragonWiz;6.959.600
94;waynowazza;6.174.600
95;Enia la simpatica;5.806.100
96;yyyyyyvhhnmll;5.475.900
97;Last Wolf Warrior;5.087.250
98;CalziferFire;4.831.700
99;Sanya Longer;4.738.100
100;Seniorcoca;0
