position;name;points
1;Space peak;82581832
2;KERSY;65254496
3;CalibratGTR;63773561
4;Li La QuEeNuS;57930500
5;Giorgiotown;56962141
6;Baba Basti;52270150
7;waynowazza;51736626
8;Fürstin;48200350
9;Cluster82;46849378
10;Fürst der Nazgûl;46675500
11;pizm8 ツ;45402400
12;Peeter99;44689516
13;Aenwe;43244000
14;haasenpeter rex;42522575
15;Arkangel ツ;42302936
16;Captain ESCANOR;40133637
17;111Dave111;37336576
18;Bugab0o;36210000
19;Haulsen;35260720
20;azerty57;34191058
21;Feivel D MauS;33813271
22;LordHemorrhoid;33750165
23;Powwdér;33334164
24;PHOENIX FOX;32377500
25;Tyskie 66;31917020
26;ozzy5255;31435382
27;cappu97;31411183
28;Enia la simpatica;29760397
29;Fluffy;28525513
30;DaliborDaki;28291064
31;hsk1338;27440200
32;Golden FOX;27109953
33;Bogo und Pini;25965150
34;EXITUS;25693295
35;Cichax0;24789586
36;jukata;24348922
37;PHILAES;24329620
38;Sphere8472;24119000
39;Babakuji;24106807
40;feimel;23503348
41;Toby Urbex;22981362
42;PIRAT 13;22974207
43;Tom12234455;22286500
44;FugitiveRazor1;21998938
45;scotch2013;21821893
46;Alina;20890538
47;LE LIGRE;20653950
48;supi pupi;20618500
49;adhd9;20583500
50;JSheridan;20581833
51;Campio91;20387247
52;Kytrider;20321076
53;Smowy;20286552
54;Z4ID;20063324
55;yyyyyyvhhnmll;19949254
56;MetauChopf;19896400
57;Queeniiiiii;19640906
58;Leijonamieli;18866104
59;Dragon blou;18575616
60;fffeyz;17888460
61;UMY LION OF GOD CC;17617175
62;mybo0;17531012
63;GaaGol;17431500
64;Kotor47;17173500
65;Adàm;16560000
66;DragonWiz;16527950
67;SmartesGirl;16476923
68;LatastrophenUlli;16432252
69;Archy Monkey;16161294
70;Dejweed;14673500
position;name;points
71;Anakín;14345189
72;Lilien1999;13574000
73;ComandanteFelps;13480707
74;Katerina77;13469000
75;CL16CS55;13251974
76;JSnoopy;13004240
77;Chrisiiii;12679756
78;SNPOL;12507255
79;ECSI;12061360
80;sunny75;11781120
81;Fran171526;11532605
82;Svela17;11383500
83;lefueT;10336225
84;SNEAKY BUNNY;10220058
85;giMp;9919929
86;Mac1902;9787915
87;Mudin364;9593014
88;Moooolah;9128800
89;mr prynn;8621974
90;dome94G;8097500
91;Pinsel20;8049555
92;Tcherbilmock;7870112
93;CalziferFire;7446980
94;Sultan Murat X;7383184
95;Kpiftw;7309706
96;MiepStreet;7280816
97;Mischel89;7266850
98;Sanya Longer;1381666
99;Last Wolf Warrior;58500
100;Seniorcoca;0
