position;name;points
1;pizm8 ツ;198.087.337
2;Baba Basti;195.239.101
3;Smowy;175.877.025
4;Li La QuEeNuS;171.059.798
5;Kotor47;144.789.119
6;Space peak;139.950.994
7;CalibratGTR;124.122.895
8;Fürst der Nazgúl;120.116.367
9;UMY LION OF GOD CC;114.385.976
10;cappu97;113.732.551
11;ComandanteFelps;113.527.265
12;K E R S Y;109.356.163
13;Dejweed;108.726.872
14;Giorgiotown;107.929.514
15;Cluster82;107.783.731
16;Captain ESCANOR;107.520.356
17;Arkangel ツ;105.422.793
18;azerty57;101.732.327
19;Kytrider;101.380.753
20;111Dave111;101.216.817
