position;name;points
1;pizm8 ツ;3707046
2;ComandanteFelps;2765396
3;Feivel D MauS;2632994
4;Smowy;2522996
5;Arkangel ツ;2344763
6;Bugab0o;2276490
7;Cluster82;2201044
8;Li La QuEeNuS;2146229
9;Golden F0X;1950925
10;supi pupi;1605757
11;azerty57;1336680
12;Last Wolf Warrior;1285290
13;PIRAT 13;1163108
14;PH1LAES;887851
15;CL16CS55;878799
16;hsk1338;740327
17;Mudin364;560922
18;Katerina77;427008
19;fffeyz;417620
20;DaliborDaki;404698
21;Chrisiiii;352270
22;Enia la simpatica;267269
23;111Dave111;250042
24;Baba Basti;202100
25;Dragon blou;194518
26;LordHemorrhoid;50530
