position;name;points
1;Kotor47;3960557
2;Aenwe;3728589
3;Anakín;3495446
4;Archy Monkey;3420122
5;SNEAKY BUNNY;3162276
6;UMY LION OF GOD CC;3083646
7;PHOENIX FOX;2236970
8;Kytrider;2179673
9;Giorgiotown;1897702
10;Dejweed;1845328
11;Adàm;1699144
12;CalibratGTR;1546418
13;supi pupi;1461144
14;haasenpeter rex;1294612
15;hsk1338;1214526
16;Captain ESCANOR;1022842
17;scotch2013;918493
18;Cluster82;917638
19;Svela17;803774
20;mr prynn;697028
21;JSnoopy;598651
22;jukata;535400
23;LordHemorrhoid;171085
24;GaaGol;140166
25;Campio91;83786
26;FugitiveRazor1;80330
