position;name;points
1;cappu97;38.916.180
2;supi pupi;34.539.630
3;SNEAKY BUNNY;32.456.070
4;lefueT;29.419.920
5;Last Wolf Warrior;28.984.800
6;Sanya Longer;28.535.357
7;Baba Basti;26.659.980
8;PHOENIX FOX;26.077.470
9;CL16CS55;25.123.236
10;SNPOL;24.491.220
11;pizm8 ツ;24.432.180
12;Adám;23.715.150
13;Haulsen;23.212.322
14;Anakín;22.691.694
15;Smowy;22.588.950
16;Cichax0;22.155.450
17;Kotor47;21.647.970
18;Bugab0o;20.880.210
19;Tom12234455;20.332.110
20;Katerina77;19.464.180
21;LordHemorrhoid;18.532.920
22;Sphere8472;17.926.410
23;Archy Monkey;17.770.158
24;Kytrider;17.552.580
25;LE LIGRE;17.101.718
26;Svela17;16.799.340
27;Golden FOX;16.602.330
28;UMY LION OF GOD CC;16.395.028
29;Dejweed;16.303.320
30;Aenwe;16.057.140
31;MetauChopf;16.050.840
32;Queeniiiiii;15.901.050
33;DragonWiz;15.400.560
34;azerty57;14.879.340
35;mr prynn;14.434.802
36;JSheridan;14.254.980
37;DaliborDaki;14.054.490
38;Príncess;13.885.470
39;Tcherbilmock;13.811.460
40;111Dave111;13.384.642
41;Babakuji;13.383.090
42;sunny75;13.171.680
43;Cluster82;12.794.370
44;adhd9;12.566.575
45;PIRAT 13;12.559.380
46;Feivel D MauS;12.510.840
47;PHILAES;12.391.380
48;Fürst der Nazgûl;12.233.190
49;haasenpeter rex;11.604.270
50;mybo0;11.597.670
51;JSnoopy;11.473.380
52;waynowazza;11.210.713
53;FugitiveRazor1;11.131.830
54;Toby Urbex;10.860.540
55;jukata;10.752.840
56;Dragon blou;10.582.980
57;scotch2013;10.478.910
58;ECSI;10.345.020
59;Li La QuEeNuS;9.953.400
60;K E R S Y;9.576.360
61;Bogo und Pini;9.327.600
62;Mischel89;9.156.647
63;feimel;9.086.250
64;Fran171526;9.062.730
65;Arkangel ツ;9.001.794
66;Giorgiotown;9.000.570
67;Captain ESCANOR;8.811.480
68;Sultan Murat X;8.724.060
69;Fluffy;8.625.090
70;EXITUS;8.520.450
71;Mudin364;8.464.080
72;Enia la simpatica;8.393.640
73;Peeter99;8.382.450
74;Mac1902;8.351.460
75;Z4ID;8.290.560
76;fffeyz;8.272.908
77;Tyskie 66;8.233.230
78;EnsAras;8.032.425
79;Leijonamieli;7.899.450
80;Lilien1999;7.755.540
81;Campio91;7.578.628
82;ComandanteFelps;7.553.070
83;MiepStreet;7.451.190
84;Moooolah;7.387.260
85;Kpiftw;7.386.480
86;GaaGol;7.322.250
87;Pinsel20;7.246.590
88;Chrisiiiii;7.213.170
89;ozzy5255;6.119.400
90;giMp;5.768.400
91;Space peak;4.773.150
92;CalibratGTR;4.528.800
93;CalziferFire;4.273.050
94;LatastrophenUlli;4.128.720
95;hsk1338;4.041.583
96;yyyyyyvhhnmll;2.891.730
97;Powwdér;2.181.600
98;Alìna;1.710.000
99;dome94G;1.230.000
100;SmartesGirl;0
